Units,Timepoint,"1.1.1: Food, Beverages & Tobacco",1.1.2: Paper/Rubber/Plastic Products & Printing,"1.1.3: Petroleum, Chemical & Pharmaceutical Products","1.1.4: Fabricated Metal Products, Machinery & Equipment","1.1.5: Electronic, Computer & Optical Products",1.1.6: Transport Equipment,1.1.7: Other Manufacturing Industries,1.1: Manufacturing,1.2: Construction,1.4.1.1: Wholesale Trade,1.4.1.2: Retail Trade,1.4.1: Wholesale And Retail Trade,1.4.2.1: Land Transport & Supporting Services,1.4.2.2: Water Transport & Supporting Services,1.4.2.3: Air Transport & Supporting Services,1.4.2.4: Other Transportation & Storage Services,1.4.2: Transportation And Storage,1.4.3.1: Accommodation,1.4.3.2: Food & Beverage Services,1.4.3: Accommodation And Food Services,"1.4.4.1: Telecommunications, Broadcasting & Publishing",1.4.4.2: IT & Other Information Services,1.4.4: Information And Communications,1.4.5.1: Financial Services,1.4.5.2: Insurance Services,1.4.5: Financial And Insurance Services,1.4.6: Real Estate Services,"1.4.7.1: Legal, Accounting & Management Services",1.4.7.2: Architectural & Engineering Services,1.4.7.3: Other Professional Services,1.4.7: Professional Services,1.4.8.1: Security & Investigation,1.4.8.2: Cleaning & Landscaping,1.4.8.3: Other Administrative & Support Services,1.4.8: Administrative And Support Services,1.4.9.1: Public Administration & Education,1.4.9.2: Health & Social Services,"1.4.9.3: Arts, Entertainment & Recreation","1.4.9.4: Other Community, Social & Personal Services","1.4.9: Community, Social And Personal Services",1.4: Services,1.5: Others,1: Total,"2: Professionals, Managers, Executives & Technicians","3: Clerical, Sales & Service Workers","4: Production & Transport Operators, Cleaners & Labourers"
Per Cent,1990-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,
Per Cent,1990-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,
Per Cent,1990-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,
Per Cent,1990-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,
Per Cent,1991-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,
Per Cent,1991-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,
Per Cent,1991-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,
Per Cent,1991-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,
Per Cent,1992-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,
Per Cent,1992-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,
Per Cent,1992-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,
Per Cent,1992-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
Per Cent,1993-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,
Per Cent,1993-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,
Per Cent,1993-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,
Per Cent,1993-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,
Per Cent,1994-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,
Per Cent,1994-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
Per Cent,1994-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,
Per Cent,1994-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
Per Cent,1995-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,
Per Cent,1995-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
Per Cent,1995-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,
Per Cent,1995-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
Per Cent,1996-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,
Per Cent,1996-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,
Per Cent,1996-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,
Per Cent,1996-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,
Per Cent,1997-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,
Per Cent,1997-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,
Per Cent,1997-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,
Per Cent,1997-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,
Per Cent,1998-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,
Per Cent,1998-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,
Per Cent,1998-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,
