Units,Timepoint,1.1: Transportation And Storage,1.2: Information And Communications,1.3: Finance And Insurance,1.4.1: Real Estate,1.4.2: Professional Services,1.4.3: Administrative & Support Services,"1.4: Real Estate, Professional Services And Administrative & Support Services",1.5: Education,1.6: Health And Social Services,1.7: Recreation & Personal Services,1: Total Services
Index,2002-03-31,53.483,58.444,32.811,,,,47.467,48.759,37.941,54.345,46.229
Index,2002-06-30,54.94,58.78,31.276,,,,48.908,47.718,38.405,58.584,46.793
Index,2002-09-30,55.493,58.352,36.437,,,,47.64,51.572,40.768,55.523,47.951
Index,2002-12-31,57.578,62.696,33.744,,,,54.886,47.231,42.14,54.334,50.109
Index,2003-03-31,55.802,57.317,34.017,,,,49.773,56.633,42.106,58.854,48.371
Index,2003-06-30,49.46,58.095,31.3,,,,48.673,45.566,34.053,50.34,44.723
Index,2003-09-30,58.964,57.121,33.858,,,,51.434,55.749,42.218,56.126,49.411
Index,2003-12-31,64.005,58.531,34.896,,,,56.042,51.992,44.457,61.229,52.48
Index,2004-03-31,63.194,57.527,34.51,,,,51.866,43.151,46.087,59.075,50.48
Index,2004-06-30,63.778,58.864,38.96,,,,51.664,41.597,41.886,60.413,51.572
Index,2004-09-30,68.423,59.061,36.306,,,,52.838,56.883,44.623,59.886,53.189
Index,2004-12-31,73.835,60.312,35.096,,,,56.697,52.608,44.257,53.63,54.969
Index,2005-03-31,72.009,59.961,40.249,,,,51.162,45.726,44.886,53.517,53.88
Index,2005-06-30,71.756,60.858,47.439,,,,53.35,49.967,47.446,58.312,56.803
Index,2005-09-30,76.194,60.744,54.476,,,,52.955,59.783,50.957,59.78,60.141
Index,2005-12-31,81.834,64.293,52.495,,,,59.154,54.9,48.365,59.892,62.799
Index,2006-03-31,76.096,64.169,40.006,,,,55.576,50.668,52.057,59.75,57.272
Index,2006-06-30,74.602,64.366,47.97,,,,53.632,45.787,52.097,66.22,58.367
Index,2006-09-30,77.899,66.641,47.629,,,,55.655,62.465,52.945,62.245,60.508
Index,2006-12-31,81.97,71.85,52.679,,,,66.025,56.83,54.017,68.718,66.266
Index,2007-03-31,79.139,72.253,53.702,,,,60.436,50.049,56.695,65.001,63.928
Index,2007-06-30,81.151,70.417,64.568,,,,64.089,52.655,57.24,69.116,68.277
Index,2007-09-30,86.216,73.393,63.547,,,,66.482,70.445,60.084,64.071,70.947
