Units,Timepoint,1.10: Information & Communications,1.11: Finance & Insurance,1.12: Real Estate,1.13: Professional Services,1.14: Administrative & Support Services,"1.15: Education, Health & Social Services","1.16: Arts, Entertainment, Recreation & Other Services",1.17: Others,1.1: Manufacturing,1.2: Construction,1.4: Wholesale Trade,1.5: Retail Trade,1.6: Transportation & Storage,1.8: Accommodation,1.9: Food & Beverage Services,1: Total
Number,1990-01-31,20.0,27.0,28.0,70.0,69.0,24.0,85.0,8.0,142.0,156.0,343.0,216.0,56.0,2.0,51.0,1297.0
Number,1990-02-28,16.0,24.0,23.0,52.0,61.0,24.0,69.0,7.0,117.0,127.0,323.0,210.0,48.0,1.0,43.0,1145.0
Number,1990-03-31,19.0,20.0,33.0,75.0,76.0,21.0,92.0,14.0,152.0,155.0,396.0,216.0,64.0,1.0,66.0,1400.0
Number,1990-04-30,10.0,13.0,41.0,59.0,54.0,17.0,77.0,13.0,146.0,126.0,320.0,217.0,73.0,1.0,68.0,1235.0
Number,1990-05-31,18.0,21.0,29.0,69.0,55.0,20.0,100.0,7.0,129.0,137.0,366.0,216.0,61.0,1.0,65.0,1294.0
Number,1990-06-30,12.0,20.0,39.0,87.0,68.0,16.0,96.0,13.0,166.0,173.0,439.0,255.0,70.0,0.0,76.0,1530.0
Number,1990-07-31,21.0,32.0,38.0,69.0,64.0,32.0,100.0,11.0,150.0,166.0,396.0,291.0,59.0,2.0,78.0,1509.0
Number,1990-08-31,17.0,19.0,33.0,60.0,46.0,20.0,84.0,6.0,141.0,103.0,335.0,187.0,54.0,1.0,42.0,1148.0
Number,1990-09-30,19.0,25.0,32.0,45.0,39.0,16.0,69.0,11.0,97.0,95.0,294.0,194.0,50.0,2.0,50.0,1038.0
Number,1990-10-31,17.0,30.0,26.0,52.0,56.0,15.0,66.0,9.0,101.0,107.0,310.0,231.0,47.0,0.0,36.0,1103.0
Number,1990-11-30,12.0,20.0,22.0,63.0,53.0,22.0,61.0,11.0,115.0,103.0,328.0,235.0,56.0,3.0,61.0,1165.0
Number,1990-12-31,20.0,28.0,45.0,63.0,56.0,15.0,85.0,28.0,169.0,178.0,399.0,332.0,77.0,1.0,67.0,1563.0
Number,1991-01-31,23.0,29.0,33.0,59.0,45.0,16.0,70.0,16.0,125.0,89.0,320.0,249.0,51.0,3.0,57.0,1185.0
Number,1991-02-28,9.0,25.0,19.0,44.0,40.0,12.0,54.0,16.0,100.0,95.0,250.0,161.0,46.0,0.0,40.0,911.0
Number,1991-03-31,19.0,20.0,24.0,59.0,49.0,28.0,51.0,12.0,124.0,114.0,304.0,215.0,70.0,0.0,46.0,1135.0
Number,1991-04-30,16.0,18.0,28.0,77.0,36.0,23.0,61.0,12.0,147.0,135.0,307.0,192.0,64.0,1.0,47.0,1164.0
Number,1991-05-31,13.0,18.0,24.0,48.0,36.0,26.0,69.0,7.0,116.0,88.0,267.0,162.0,60.0,1.0,49.0,984.0
Number,1991-06-30,20.0,21.0,41.0,53.0,38.0,24.0,56.0,8.0,108.0,94.0,288.0,189.0,59.0,0.0,38.0,1037.0
Number,1991-07-31,47.0,33.0,106.0,163.0,162.0,45.0,189.0,27.0,305.0,386.0,787.0,483.0,163.0,3.0,146.0,3045.0
Number,1991-08-31,17.0,25.0,39.0,68.0,51.0,26.0,61.0,10.0,135.0,100.0,285.0,165.0,53.0,1.0,62.0,1098.0
Number,1991-09-30,14.0,29.0,29.0,58.0,35.0,12.0,68.0,4.0,117.0,105.0,319.0,166.0,52.0,1.0,64.0,1073.0
Number,1991-10-31,33.0,43.0,65.0,119.0,112.0,36.0,170.0,17.0,229.0,253.0,553.0,336.0,98.0,1.0,108.0,2173.0
Number,1991-11-30,14.0,15.0,22.0,60.0,40.0,10.0,58.0,4.0,94.0,117.0,238.0,146.0,45.0,0.0,53.0,916.0
Number,1991-12-31,16.0,31.0,41.0,77.0,59.0,26.0,75.0,10.0,183.0,151.0,377.0,233.0,79.0,1.0,53.0,1412.0
Number,1992-01-31,31.0,53.0,71.0,118.0,98.0,43.0,122.0,20.0,224.0,238.0,561.0,326.0,95.0,1.0,106.0,2107.0
Number,1992-02-29,23.0,28.0,35.0,63.0,60.0,19.0,67.0,8.0,154.0,128.0,351.0,179.0,62.0,0.0,43.0,1220.0
Number,1992-03-31,30.0,32.0,49.0,81.0,63.0,33.0,86.0,6.0,149.0,148.0,390.0,207.0,76.0,2.0,48.0,1400.0
Number,1992-04-30,29.0,40.0,70.0,79.0,61.0,20.0,81.0,11.0,185.0,158.0,453.0,191.0,80.0,1.0,53.0,1512.0
Number,1992-05-31,20.0,50.0,45.0,83.0,50.0,21.0,54.0,11.0,172.0,124.0,441.0,195.0,78.0,2.0,49.0,1395.0
Number,1992-06-30,33.0,48.0,50.0,105.0,69.0,29.0,91.0,9.0,190.0,175.0,490.0,258.0,83.0,2.0,79.0,1711.0
Number,1992-07-31,18.0,43.0,39.0,77.0,47.0,19.0,64.0,10.0,148.0,153.0,400.0,200.0,76.0,1.0,62.0,1357.0
Number,1992-08-31,15.0,25.0,54.0,67.0,48.0,23.0,41.0,8.0,124.0,120.0,383.0,183.0,72.0,3.0,55.0,1221.0
Number,1992-09-30,22.0,41.0,40.0,62.0,54.0,20.0,80.0,8.0,135.0,118.0,335.0,187.0,55.0,1.0,68.0,1226.0
Number,1992-10-31,22.0,30.0,27.0,68.0,48.0,13.0,71.0,6.0,108.0,131.0,324.0,197.0,55.0,1.0,62.0,1163.0
Number,1992-11-30,16.0,25.0,27.0,66.0,51.0,20.0,63.0,6.0,131.0,114.0,319.0,169.0,51.0,3.0,51.0,1112.0
Number,1992-12-31,19.0,42.0,47.0,98.0,66.0,25.0,96.0,10.0,162.0,142.0,465.0,270.0,90.0,1.0,72.0,1605.0
Number,1993-01-31,19.0,40.0,49.0,76.0,59.0,17.0,57.0,12.0,167.0,121.0,378.0,199.0,77.0,0.0,52.0,1323.0
Number,1993-02-28,15.0,33.0,34.0,74.0,50.0,18.0,65.0,10.0,151.0,136.0,392.0,198.0,63.0,1.0,48.0,1288.0
