Units,Timepoint,1.1.1: Manufacturing,1.1.2: Construction,1.1.9: Others,1.1: Goods Producing Industries,1.2.1.1: Wholesale Trade,1.2.1.2: Retail Trade,1.2.1: Wholesale & Retail Trade,1.2.2: Transportation & Storage,1.2.3.1: Accommodation,1.2.3.2: Food & Beverage Services,1.2.3: Accommodation & Food Services,1.2.4: Information & Communications,1.2.5: Financial & Insurance Services,1.2.6.1: Real Estate Services,1.2.6.2: Professional Services,1.2.6.3: Administrative & Support Services,"1.2.6: Real Estate, Professional Services And Administrative & Support Services",1.2.7: Other Services Industries,1.2: Services Producing Industries,1: Total Changes In Employment
Number,1991-03-31,,,,,,,,,,,,,,,,,,,,8500.0
Number,1991-06-30,,,,,,,,,,,,,,,,,,,,15800.0
Number,1991-09-30,,,,,,,,,,,,,,,,,,,,15500.0
Number,1991-12-31,,,,,,,,,,,,,,,,,,,,12600.0
Number,1992-03-31,,,,,,,,,,,,,,,,,,,,15900.0
Number,1992-06-30,,,,,,,,,,,,,,,,,,,,6200.0
Number,1992-09-30,,,,,,,,,,,,,,,,,,,,7700.0
Number,1992-12-31,,,,,,,,,,,,,,,,,,,,10500.0
Number,1993-03-31,,,,,,,,,,,,,,,,,,,,15900.0
Number,1993-06-30,,,,,,,,,,,,,,,,,,,,10300.0
Number,1993-09-30,,,,,,,,,,,,,,,,,,,,18600.0
Number,1993-12-31,,,,,,,,,,,,,,,,,,,,25900.0
Number,1994-03-31,,,,,,,,,,,,,,,,,,,,9000.0
Number,1994-06-30,,,,,,,,,,,,,,,,,,,,28900.0
Number,1994-09-30,,,,,,,,,,,,,,,,,,,,7900.0
Number,1994-12-31,,,,,,,,,,,,,,,,,,,,26300.0
Number,1995-03-31,,,,,,,,,,,,,,,,,,,,14200.0
Number,1995-06-30,,,,,,,,,,,,,,,,,,,,27100.0
Number,1995-09-30,,,,,,,,,,,,,,,,,,,,20400.0
Number,1995-12-31,,,,,,,,,,,,,,,,,,,,47300.0
Number,1996-03-31,,,,,,,,,,,,,,,,,,,,17400.0
Number,1996-06-30,,,,,,,,,,,,,,,,,,,,23300.0
Number,1996-09-30,,,,,,,,,,,,,,,,,,,,22100.0
Number,1996-12-31,,,,,,,,,,,,,,,,,,,,39800.0
Number,1997-03-31,,,,,,,,,,,,,,,,,,,,16200.0
Number,1997-06-30,,,,,,,,,,,,,,,,,,,,37200.0
Number,1997-09-30,,,,,,,,,,,,,,,,,,,,31100.0
Number,1997-12-31,,,,,,,,,,,,,,,,,,,,35800.0
Number,1998-03-31,,,,,,,,,,,,,,,,,,,,9100.0
Number,1998-06-30,,,,,,,,,,,,,,,,,,,,-5900.0
Number,1998-09-30,,,,,,,,,,,,,,,,,,,,-20300.0
Number,1998-12-31,,,,,,,,,,,,,,,,,,,,-6300.0
Number,1999-03-31,,,,,,,,,,,,,,,,,,,,-9600.0
Number,1999-06-30,,,,,,,,,,,,,,,,,,,,15500.0
Number,1999-09-30,,,,,,,,,,,,,,,,,,,,7700.0
Number,1999-12-31,,,,,,,,,,,,,,,,,,,,26300.0
Number,2000-03-31,,,,,,,,,,,,,,,,,,,,13700.0
Number,2000-06-30,,,,,,,,,,,,,,,,,,,,29700.0
Number,2000-09-30,,,,,,,,,,,,,,,,,,,,30000.0
Number,2000-12-31,,,,,,,,,,,,,,,,,,,,35100.0
Number,2001-03-31,,,,,,,,,,,,,,,,,,,,23200.0
Number,2001-06-30,,,,,,,,,,,,,,,,,,,,3300.0
Number,2001-09-30,,,,,,,,,,,,,,,,,,,,-12500.0
Number,2001-12-31,,,,,,,,,,,,,,,,,,,,-14100.0
Number,2002-03-31,,,,,,,,,,,,,,,,,,,,-10300.0
Number,2002-06-30,,,,,,,,,,,,,,,,,,,,-3800.0
Number,2002-09-30,,,,,,,,,,,,,,,,,,,,-8500.0
Number,2002-12-31,,,,,,,,,,,,,,,,,,,,-300.0
Number,2003-03-31,,,,,,,,,,,,,,,,,,,,-4100.0
Number,2003-06-30,,,,,,,,,,,,,,,,,,,,-26000.0
Number,2003-09-30,,,,,,,,,,,,,,,,,,,,900.0
Number,2003-12-31,,,,,,,,,,,,,,,,,,,,16200.0
Number,2004-03-31,,,,,,,,,,,,,,,,,,,,13700.0
Number,2004-06-30,,,,,,,,,,,,,,,,,,,,10900.0
Number,2004-09-30,,,,,,,,,,,,,,,,,,,,14100.0
Number,2004-12-31,,,,,,,,,,,,,,,,,,,,32700.0
Number,2005-03-31,,,,,,,,,,,,,,,,,,,,17800.0
Number,2005-06-30,,,,,,,,,,,,,,,,,,,,31700.0
Number,2005-09-30,,,,,,,,,,,,,,,,,,,,28500.0
Number,2005-12-31,,,,,,,,,,,,,,,,,,,,35300.0
Number,2006-03-31,,,,,,,,,,,,,,,,,,,,45000.0
Number,2006-06-30,,,,,,,,,,,,,,,,,,,,36400.0
Number,2006-09-30,,,,,,,,,,,,,,,,,,,,43000.0
Number,2006-12-31,,,,,,,,,,,,,,,,,,,,51500.0
Number,2007-03-31,,,,,,,,,,,,,,,,,,,,49400.0
Number,2007-06-30,,,,,,,,,,,,,,,,,,,,64400.0
Number,2007-09-30,,,,,,,,,,,,,,,,,,,,58600.0
Number,2007-12-31,,,,,,,,,,,,,,,,,,,,62500.0
Number,2008-03-31,,,,,,,,,,,,,,,,,,,,73200.0
Number,2008-06-30,,,,,,,,,,,,,,,,,,,,71400.0
Number,2008-09-30,,,,,,,,,,,,,,,,,,,,55700.0
Number,2008-12-31,,,,,,,,,,,,,,,,,,,,21300.0
Number,2009-03-31,,,,,,,,,,,,,,,,,,,,-6200.0
Number,2009-06-30,,,,,,,,,,,,,,,,,,,,-7700.0
Number,2009-09-30,,,,,,,,,,,,,,,,,,,,14000.0
Number,2009-12-31,,,,,,,,,,,,,,,,,,,,37500.0
Number,2010-03-31,,,,,,,,,,,,,,,,,,,,36500.0
Number,2010-06-30,,,,,,,,,,,,,,,,,,,,24900.0
Number,2010-09-30,,,,,,,,,,,,,,,,,,,,20500.0
Number,2010-12-31,,,,,,,,,,,,,,,,,,,,33900.0
Number,2011-03-31,,,,,,,,,,,,,,,,,,,,28300.0
Number,2011-06-30,,,,,,,,,,,,,,,,,,,,24800.0
Number,2011-09-30,,,,,,,,,,,,,,,,,,,,31900.0
Number,2011-12-31,,,,,,,,,,,,,,,,,,,,37600.0
Number,2012-03-31,,,,,,,,,,,,,,,,,,,,27200.0
Number,2012-06-30,,,,,,,,,,,,,,,,,,,,31700.0
Number,2012-09-30,,,,,,,,,,,,,,,,,,,,26200.0
Number,2012-12-31,,,,,,,,,,,,,,,,,,,,44000.0
Number,2013-03-31,,,,,,,,,,,,,,,,,,,,28900.0
Number,2013-06-30,,,,,,,,,,,,,,,,,,,,33700.0
Number,2013-09-30,,,,,,,,,,,,,,,,,,,,33100.0
Number,2013-12-31,,,,,,,,,,,,,,,,,,,,40600.0
Number,2014-03-31,,,,,,,,,,,,,,,,,,,,28300.0
Number,2014-06-30,,,,,,,,,,,,,,,,,,,,27700.0
