Units,Timepoint,1.0: Food & Live Animals,1.1: Beverages & Tobacco,1.2: Crude Materials (Excl Fuels),"1.3: Mineral Fuels, Lubricants & Related Materials",1.4: Animal & Vegetable Oils Fats & Waxes,1.5: Chemicals & Chemical Products,1.6: Manufactured Goods,1.7: Machinery & Transport Equipment,1.8: Miscellaneous Manufactured Articles,1: Domestic Supply Price Index - Overall Items,2: Non-Oil Domestic Supply Price Index
Index,1974-01-31,57.012,33.239,79.72,23.654,120.085,61.38,67.291,155.498,69.948,79.774,109.687
Index,1974-02-28,58.158,34.364,76.303,24.144,129.956,63.154,68.55,157.536,72.206,80.715,110.894
Index,1974-03-31,60.16,34.537,74.514,24.317,138.948,64.0,69.359,158.834,72.206,81.278,111.566
Index,1974-04-30,60.017,34.537,68.168,25.009,146.187,67.127,69.81,162.171,72.306,81.56,111.432
Index,1974-05-31,59.374,34.71,67.842,24.951,147.283,67.635,71.25,162.541,72.206,81.842,111.834
Index,1974-06-30,58.801,34.71,63.044,25.21,154.191,68.228,70.98,163.839,72.109,81.278,110.894
Index,1974-07-31,59.017,35.144,59.303,25.555,154.63,68.735,70.98,164.024,72.6,81.09,110.224
Index,1974-08-31,59.444,37.047,58.65,25.586,157.811,67.973,71.518,166.432,72.6,81.56,111.028
Index,1974-09-30,59.731,37.047,53.934,25.297,157.372,67.805,71.34,165.506,72.6,80.715,109.821
Index,1974-10-31,61.161,37.047,52.388,25.873,159.017,67.044,70.35,166.062,73.484,80.808,109.554
Index,1974-11-30,62.092,37.912,48.157,25.671,153.753,66.367,69.001,166.803,73.582,79.961,108.347
Index,1974-12-31,60.876,38.086,51.085,25.873,152.985,66.198,68.101,167.358,73.877,80.244,108.615
Index,1975-01-31,60.232,38.433,51.085,25.297,144.212,63.493,66.931,166.803,75.351,79.399,107.677
Index,1975-02-28,59.087,38.605,51.737,24.663,140.154,63.154,66.391,164.951,75.056,78.648,107.007
Index,1975-03-31,59.017,38.777,51.248,24.778,129.297,63.07,65.582,164.579,74.957,78.272,106.336
Index,1975-04-30,58.587,38.777,50.597,24.693,116.356,63.323,65.131,164.579,74.86,77.989,105.8
Index,1975-05-31,58.158,40.51,50.517,24.951,111.751,63.154,64.052,163.097,74.565,77.52,105.13
Index,1975-06-30,57.657,40.596,52.55,24.865,102.209,63.323,63.963,162.541,74.86,77.613,105.264
Index,1975-07-31,58.444,40.682,56.454,26.218,99.907,64.169,64.503,163.097,75.154,79.305,106.872
Index,1975-08-31,59.731,40.855,58.325,26.681,100.015,63.662,64.861,166.803,75.253,80.433,108.213
Index,1975-09-30,59.516,41.028,57.512,27.112,102.099,63.831,64.772,167.358,75.154,80.715,108.213
Index,1975-10-31,59.231,40.941,57.268,28.927,103.526,64.422,65.672,166.989,75.351,81.747,108.615
Index,1975-11-30,57.728,40.941,58.081,28.985,103.745,64.845,65.941,169.769,75.744,82.029,109.151
Index,1975-12-31,58.444,40.941,61.417,29.187,105.061,65.014,66.031,169.954,75.842,82.97,110.09
Index,1976-01-31,58.801,41.115,62.8,29.013,99.797,66.79,65.492,171.436,77.316,83.346,111.028
Index,1976-02-29,59.444,41.028,65.891,28.985,97.055,67.044,66.121,171.436,77.708,84.003,112.236
Index,1976-03-31,59.516,41.115,68.006,28.84,98.261,67.044,66.572,170.881,77.512,84.285,112.772
Index,1976-04-30,59.874,41.028,68.413,28.179,98.261,67.127,66.662,171.251,77.611,84.097,113.041
Index,1976-05-31,60.089,41.028,71.667,28.179,97.275,67.213,66.842,171.251,77.512,84.66,113.979
Index,1976-06-30,60.518,41.203,74.107,28.092,99.358,67.383,67.831,171.251,77.413,85.319,114.918
Index,1976-07-31,59.874,41.289,72.316,28.034,104.294,67.889,68.28,171.251,75.154,84.848,114.381
Index,1976-08-31,60.876,41.289,73.375,28.034,105.828,68.142,68.55,171.623,74.565,85.319,114.918
Index,1976-09-30,61.449,41.289,72.887,28.121,110.105,68.142,69.269,171.251,75.253,85.506,115.185
Index,1976-10-31,62.449,41.289,75.49,28.206,110.433,68.228,69.089,173.103,75.744,86.258,116.392
Index,1976-11-30,62.377,41.203,75.328,28.206,113.834,68.312,69.269,174.032,76.923,86.539,116.928
Index,1976-12-31,64.739,41.203,73.293,28.121,117.233,68.481,69.359,173.661,77.217,86.539,116.928
Index,1977-01-31,65.597,41.115,73.375,29.273,120.304,68.735,69.179,173.103,79.083,87.386,117.331
Index,1977-02-28,66.241,41.028,73.618,30.974,124.911,68.904,69.449,173.103,79.378,88.514,117.867
Index,1977-03-31,68.172,41.115,74.677,30.368,136.206,68.904,69.72,174.587,79.968,88.982,119.075
Index,1977-04-30,68.387,41.203,74.269,30.425,143.663,68.904,69.72,176.071,80.263,89.264,119.477
Index,1977-05-31,67.529,41.203,74.107,30.484,146.187,68.65,69.179,175.884,80.165,88.982,118.807
Index,1977-06-30,66.884,41.203,73.537,30.484,144.212,68.818,69.539,174.958,80.361,88.701,118.539
