Units,Timepoint,"10: Metals, Timber And Construction Materials",11: General Wholesale Trade,12: Ship Chandlers And Bunkering,13: Transport Equipment,14: Other Wholesale Trade,1: Total,2: Total (Excluding Petroleum),"3: Food, Beverages And Tobacco",4: Household Equipment And Furniture,5: Petroleum And Petroleum Products,6: Chemicals And Chemical Products,7: Electronic Components,8: Industrial And Construction Machinery,9: Telecommunications And Computers
Index,1995-03-31,104.566,138.452,83.153,,65.325,63.559,66.942,67.492,96.31,51.672,100.114,80.018,66.508,9.916
Index,1995-06-30,129.814,161.267,85.891,,63.448,67.364,71.881,63.232,95.077,52.244,144.186,93.634,80.278,9.992
Index,1995-09-30,119.076,148.084,93.494,,65.384,72.175,77.105,73.538,104.246,55.551,148.659,110.243,84.372,11.097
Index,1995-12-31,121.161,187.523,113.665,,64.935,78.2,80.523,66.57,111.431,68.86,149.077,107.386,87.643,12.468
Index,1996-03-31,111.611,137.036,104.823,,53.533,66.213,68.085,62.915,86.32,58.203,129.975,95.424,74.277,12.562
Index,1996-06-30,128.271,170.72,98.062,,54.869,64.712,66.746,61.804,78.614,56.27,130.981,75.766,73.972,13.694
Index,1996-09-30,140.796,148.588,121.079,,53.952,66.008,68.539,63.662,85.761,56.026,114.271,73.715,81.759,14.661
Index,1996-12-31,150.992,138.044,113.56,,59.14,71.246,72.323,64.839,91.809,65.437,123.927,74.449,81.146,18.32
Index,1997-03-31,130.328,153.79,100.643,,62.804,68.15,71.395,61.552,100.928,56.526,112.92,71.065,84.353,17.13
Index,1997-06-30,132.552,174.477,120.527,,67.001,74.244,78.61,67.943,112.775,59.448,137.602,81.374,91.801,18.13
Index,1997-09-30,135.299,184.249,112.467,,65.55,80.125,83.528,70.713,121.809,67.518,137.141,92.641,106.338,20.453
Index,1997-12-31,146.788,189.567,104.189,,56.056,75.302,76.734,63.609,124.498,67.987,120.391,85.165,70.461,19.136
Index,1998-03-31,99.969,213.774,101.173,,46.816,68.508,70.884,62.363,123.41,59.338,127.608,81.785,58.596,18.183
Index,1998-06-30,109.814,186.039,96.571,,46.21,74.212,69.086,62.136,100.699,87.865,138.148,80.521,53.568,20.382
Index,1998-09-30,97.871,173.169,81.966,,49.536,72.93,67.724,70.944,80.572,86.868,130.704,78.625,56.738,21.153
Index,1998-12-31,95.551,181.228,148.109,,51.754,76.284,73.101,70.244,77.95,83.93,139.547,86.568,52.725,23.055
Index,1999-03-31,93.526,140.566,96.323,,43.719,65.755,64.235,63.837,79.675,65.965,113.121,90.32,42.495,21.601
Index,1999-06-30,109.322,108.389,96.623,,46.568,69.051,67.066,58.95,87.977,71.496,113.464,92.654,49.17,24.415
Index,1999-09-30,109.8,164.111,91.908,,48.389,71.047,69.799,60.643,81.525,69.02,98.0,104.103,47.566,24.411
Index,1999-12-31,124.891,85.304,93.794,,50.612,73.06,70.917,59.311,85.612,75.896,94.216,107.388,50.887,28.638
Index,2000-03-31,105.433,101.032,96.052,,46.436,71.447,69.016,56.695,78.894,75.539,102.096,95.882,51.851,34.305
Index,2000-06-30,121.69,104.684,88.299,,46.336,73.477,70.616,59.234,81.985,79.434,105.798,105.515,54.077,30.521
Index,2000-09-30,118.945,155.426,98.824,,46.518,83.184,78.342,64.581,86.458,97.669,106.999,117.305,66.189,34.371
