Units,Timepoint,1.0: Food & Live Animals,1.1: Beverages & Tobacco,1.2: Crude Materials (Excl Fuels),"1.3: Mineral Fuels, Lubricants & Related Materials",1.4: Animal & Vegetable Oils Fats & Waxes,1.5: Chemicals & Chemical Products,1.6: Manufactured Goods,1.7: Machinery & Transport Equipment,1.8: Miscellaneous Manufactured Articles,1: Export Price Index - Overall Items,2: Non-Oil Export Price Index
Index,1978-01-31,84.323,54.731,61.347,35.355,126.798,69.848,81.253,317.904,107.289,157.389,216.72
Index,1978-02-28,82.728,54.37,61.772,35.214,133.245,69.848,81.6,317.637,107.405,157.389,216.913
Index,1978-03-31,79.755,54.731,61.631,35.129,133.613,69.935,81.514,318.436,107.405,156.949,216.337
Index,1978-04-30,78.594,54.731,62.127,35.214,135.27,69.761,82.982,317.904,107.289,157.241,216.72
Index,1978-05-31,79.031,54.804,64.038,35.27,137.02,69.761,83.499,312.317,106.478,157.389,216.72
Index,1978-06-30,79.393,55.02,67.156,35.412,140.058,69.761,84.19,312.05,107.637,158.86,219.41
Index,1978-07-31,77.942,55.093,66.801,34.987,138.954,69.761,85.226,310.455,109.026,158.125,219.217
Index,1978-08-31,76.854,54.659,68.36,34.987,130.482,69.935,86.003,312.05,108.911,158.712,220.18
Index,1978-09-30,77.507,55.165,70.84,34.817,132.877,69.674,86.349,311.254,108.911,159.448,222.099
Index,1978-10-31,79.103,55.165,73.46,34.028,131.863,69.065,87.385,308.327,108.563,159.303,223.445
Index,1978-11-30,78.014,55.165,74.736,34.252,132.324,69.326,87.902,309.391,108.448,159.742,224.597
Index,1978-12-31,79.32,54.731,73.319,34.225,132.692,70.021,88.162,312.317,108.911,160.036,224.983
Index,1979-01-31,77.797,54.948,72.752,35.497,137.757,71.845,89.629,319.767,110.533,163.273,227.672
Index,1979-02-28,77.942,54.804,76.506,36.824,142.821,71.584,90.062,322.958,110.418,166.802,231.323
Index,1979-03-31,78.087,55.093,77.285,37.673,138.033,72.106,90.407,322.958,110.186,168.273,231.706
Index,1979-04-30,79.248,55.165,82.174,41.94,140.979,73.757,92.048,322.958,110.186,176.363,236.51
Index,1979-05-31,80.625,55.453,85.361,42.844,143.467,74.278,92.393,321.097,110.301,178.864,239.201
Index,1979-06-30,84.032,56.248,87.983,46.717,145.123,76.19,93.17,313.914,109.838,184.895,240.16
Index,1979-07-31,84.83,56.248,85.716,52.199,145.86,76.884,94.466,317.371,110.418,192.692,240.544
Index,1979-08-31,85.482,56.97,84.016,51.943,141.44,77.926,94.466,317.106,110.881,191.809,239.584
Index,1979-09-30,85.337,57.619,83.803,53.753,140.427,78.623,95.156,317.371,110.881,194.456,239.777
Index,1979-10-31,84.757,57.619,83.874,55.816,138.218,79.403,97.228,316.042,110.649,197.399,239.969
Index,1979-11-30,85.772,57.619,84.44,56.917,137.481,80.186,97.66,320.831,110.649,199.899,242.273
Index,1979-12-31,85.482,57.692,85.433,61.609,134.626,81.228,97.92,321.097,111.228,206.665,243.233
Index,1980-01-31,86.86,61.59,90.815,67.912,144.11,93.217,101.718,324.022,115.051,220.491,252.842
Index,1980-02-29,86.787,61.59,95.562,70.653,146.781,93.824,102.151,324.289,115.746,226.082,256.684
Index,1980-03-31,87.44,61.59,90.392,73.959,145.492,95.996,102.928,326.418,115.979,229.612,254.57
Index,1980-04-30,86.57,62.096,89.682,72.857,141.992,96.257,103.705,329.077,116.326,228.288,254.57
Index,1980-05-31,85.918,62.458,84.37,73.31,133.336,96.431,103.187,333.6,116.674,227.258,251.688
Index,1980-06-30,83.888,63.829,83.307,73.225,129.377,96.343,102.151,333.6,117.021,226.227,249.958
