Units,Timepoint,1.1: Restaurants,1.2: Fast Food Outlets,1.3: Food Caterers,"1.4: Cafes, Food Courts & Other Eating Places",1: Total
Index,1985-01-31,93.485,25.772,,87.27,74.477
Index,1985-02-28,98.704,28.303,,80.653,75.611
Index,1985-03-31,90.648,30.364,,93.57,76.178
Index,1985-04-30,77.828,26.006,,84.328,66.538
Index,1985-05-31,82.594,27.037,,88.529,70.223
Index,1985-06-30,88.946,31.629,,90.525,74.854
Index,1985-07-31,73.404,26.287,,87.059,65.403
Index,1985-08-31,75.559,27.973,,88.529,67.199
Index,1985-09-30,85.089,26.99,,84.644,70.223
Index,1985-10-31,89.628,24.225,,88.529,72.68
Index,1985-11-30,87.473,27.692,,87.689,72.397
Index,1985-12-31,88.381,33.081,,93.359,75.704
Index,1986-01-31,89.401,24.131,,76.661,69.183
Index,1986-02-28,89.741,25.771,,66.791,66.915
Index,1986-03-31,76.695,29.989,,82.858,66.631
Index,1986-04-30,71.701,23.991,,78.972,61.716
Index,1986-05-31,80.665,29.754,,77.922,66.915
Index,1986-06-30,74.198,32.004,,78.972,64.835
Index,1986-07-31,74.085,26.803,,79.392,63.607
Index,1986-08-31,80.212,31.207,,77.291,66.915
Index,1986-09-30,84.864,25.304,,76.136,67.197
Index,1986-10-31,76.24,25.913,,79.497,64.362
Index,1986-11-30,78.282,28.115,,79.708,65.969
Index,1986-12-31,84.522,32.894,,88.004,72.396
Index,1987-01-31,78.282,26.843,,77.923,65.118
Index,1987-02-28,77.26,23.236,,75.717,63.134
Index,1987-03-31,81.346,29.42,,83.908,68.71
Index,1987-04-30,74.766,27.78,,81.807,64.552
Index,1987-05-31,86.224,30.543,,84.538,71.641
Index,1987-06-30,78.056,31.762,,86.114,68.239
Index,1987-07-31,78.511,27.545,,83.489,66.82
Index,1987-08-31,83.048,33.261,,84.434,70.696
Index,1987-09-30,82.028,29.888,,82.858,68.995
Index,1987-10-31,97.231,31.528,,86.639,77.973
Index,1987-11-30,92.125,34.385,,86.114,75.988
Index,1987-12-31,105.286,40.053,,92.1,85.534
Index,1988-01-31,93.793,33.261,,87.375,76.82
Index,1988-02-29,95.495,34.9,,78.448,75.969
Index,1988-03-31,93.907,36.867,,89.579,78.426
Index,1988-04-30,89.597,35.555,,85.169,74.835
Index,1988-05-31,94.134,38.179,,91.155,79.276
Index,1988-06-30,90.731,35.696,,89.579,76.442
Index,1988-07-31,95.267,37.242,,88.529,78.898
Index,1988-08-31,91.638,34.994,,88.845,76.536
Index,1988-09-30,96.061,33.588,,88.215,78.237
Index,1988-10-31,103.546,37.149,,92.206,83.905
Index,1988-11-30,105.134,37.945,,92.626,85.039
Index,1988-12-31,115.795,47.08,,99.241,94.393
Index,1989-01-31,103.731,38.368,,90.203,83.884
Index,1989-02-28,105.205,39.023,,81.908,82.751
Index,1989-03-31,105.998,41.975,,95.663,87.192
Index,1989-04-30,102.598,37.431,,92.408,83.602
Index,1989-05-31,106.112,38.929,,95.558,86.435
Index,1989-06-30,99.99,40.851,,95.663,83.979
Index,1989-07-31,106.112,42.865,,97.974,88.042
Index,1989-08-31,102.144,41.178,,96.294,85.302
Index,1989-09-30,113.821,40.148,,97.869,91.253
Index,1989-10-31,109.626,40.148,,99.864,89.648
Index,1989-11-30,112.573,42.349,,100.074,91.725
Index,1989-12-31,124.023,50.735,,106.901,101.361
Index,1990-01-31,110.903,43.448,,98.446,90.817
Index,1990-02-28,110.903,37.315,,91.413,87.513
Index,1990-03-31,113.396,45.93,,99.18,92.8
Index,1990-04-30,102.974,43.355,,97.292,86.475
Index,1990-05-31,112.263,46.257,,101.385,92.895
Index,1990-06-30,103.652,50.004,,100.651,89.307
Index,1990-07-31,103.993,45.322,,103.169,88.93
Index,1990-08-31,109.203,46.539,,100.651,91.289
Index,1990-09-30,109.77,43.683,,98.762,90.344
Index,1990-10-31,116.114,44.478,,101.596,94.404
Index,1990-11-30,121.212,47.007,,104.325,98.37
Index,1990-12-31,132.426,53.702,,110.517,107.15
Index,1991-01-31,106.263,40.622,,102.537,88.64
Index,1991-02-28,103.997,41.886,,90.154,84.864
Index,1991-03-31,105.81,47.221,,100.334,89.584
