Units,Timepoint,"10: Metals, Timber And Construction Materials",11: General Wholesale Trade,12: Ship Chandlers And Bunkering,13: Transport Equipment,14: Other Wholesale Trade,1: Total,2: Total (Excluding Petroleum),"3: Food, Beverages And Tobacco",4: Household Equipment And Furniture,5: Petroleum And Petroleum Products,6: Chemicals And Chemical Products,7: Electronic Components,8: Industrial And Construction Machinery,9: Telecommunications And Computers
Index,1995-03-31,60.141,29.616,57.727,,34.612,28.411,21.127,24.0,70.321,44.649,54.228,7.192,58.668,2.422
Index,1995-06-30,66.458,31.797,58.103,,35.234,29.626,23.279,25.469,76.413,43.159,57.808,8.316,70.163,2.915
Index,1995-09-30,66.702,42.059,67.89,,38.467,32.988,26.513,25.434,81.908,46.607,58.361,8.921,77.45,3.44
Index,1995-12-31,62.775,36.209,99.868,,47.169,35.764,27.434,26.657,74.352,55.052,54.07,9.595,97.746,3.841
Index,1996-03-31,50.319,36.589,103.87,,45.999,33.698,25.094,22.448,72.12,52.852,53.389,8.499,80.692,3.929
Index,1996-06-30,58.27,33.042,89.203,,39.338,32.943,24.492,22.001,74.435,51.827,47.749,9.186,89.574,4.193
Index,1996-09-30,61.944,38.503,91.919,,33.781,34.72,25.744,27.558,84.861,54.891,45.982,9.281,83.001,4.258
Index,1996-12-31,66.176,35.076,104.09,,38.724,36.707,26.398,28.899,78.053,61.249,47.608,10.837,89.435,4.409
Index,1997-03-31,57.466,42.08,89.291,,39.646,36.779,26.291,25.337,65.285,61.784,52.436,10.982,78.339,4.554
Index,1997-06-30,62.22,33.042,127.851,,36.149,37.345,26.361,27.63,69.21,63.96,50.787,12.953,80.416,5.59
Index,1997-09-30,64.388,44.189,92.289,,38.397,39.039,28.534,29.665,72.131,63.277,56.277,13.092,83.128,5.228
Index,1997-12-31,55.631,34.419,92.621,,41.285,38.374,26.383,32.594,70.866,68.306,55.951,11.554,69.394,5.015
Index,1998-03-31,38.2,36.573,115.817,,31.953,36.653,23.782,29.916,50.521,70.743,53.536,10.563,74.524,4.298
Index,1998-06-30,31.618,26.24,103.076,,32.203,35.168,23.031,32.603,62.064,67.071,50.539,11.416,69.364,4.661
Index,1998-09-30,34.124,33.254,109.252,,25.738,36.394,24.165,33.643,65.974,68.145,56.345,12.333,65.295,4.584
Index,1998-12-31,36.083,29.473,94.224,,29.903,37.366,23.426,32.517,41.312,75.228,58.563,13.05,84.516,5.259
Index,1999-03-31,40.064,27.477,85.168,,20.696,34.068,21.277,27.802,40.107,69.74,54.144,14.772,66.927,4.445
Index,1999-06-30,45.169,27.779,93.502,,23.794,35.567,24.704,27.741,62.913,60.769,60.108,17.335,81.876,5.579
Index,1999-09-30,45.96,29.061,80.683,,24.718,35.244,24.036,31.047,37.438,62.36,55.427,18.85,81.754,5.6
Index,1999-12-31,49.511,30.095,79.161,,25.528,37.512,24.736,25.867,38.55,70.466,56.568,19.009,98.181,6.488
Index,2000-03-31,42.167,30.019,79.862,,22.95,36.285,23.856,24.869,37.629,67.956,42.927,20.382,85.247,6.9
Index,2000-06-30,50.265,34.838,73.94,,26.104,39.303,27.056,29.164,41.078,70.035,50.456,23.568,101.905,6.936
Index,2000-09-30,49.367,33.252,79.161,,27.257,39.783,28.521,27.194,43.219,67.55,51.778,27.771,117.392,7.813
Index,2000-12-31,49.91,29.58,66.263,,26.368,40.979,27.706,25.54,50.934,74.504,57.624,26.15,111.39,8.205
Index,2001-03-31,48.928,32.648,67.454,,25.7,38.874,26.514,25.355,44.996,69.963,66.236,21.413,75.677,8.188
Index,2001-06-30,48.068,32.172,66.376,,27.235,38.237,27.623,34.919,46.915,64.647,74.359,19.459,83.347,7.809
Index,2001-09-30,45.948,31.376,80.413,,27.829,39.653,28.103,30.222,49.017,68.505,96.716,21.274,70.335,7.457
Index,2001-12-31,46.983,31.579,76.912,,27.707,39.635,28.421,33.399,51.393,67.582,74.717,21.227,82.748,8.522
Index,2002-03-31,56.266,31.752,75.658,,26.43,37.403,28.736,31.604,45.353,58.34,79.858,22.07,83.38,9.333
Index,2002-06-30,58.303,34.902,85.454,,28.415,38.959,31.571,36.514,54.23,56.15,87.388,25.26,94.87,9.114
Index,2002-09-30,65.266,39.45,98.61,,33.244,41.585,34.474,38.443,55.682,57.747,95.837,28.491,88.708,9.446
Index,2002-12-31,74.226,46.052,78.971,,33.751,42.091,35.244,40.03,51.042,57.465,81.874,28.843,90.303,10.423
Index,2003-03-31,75.516,45.26,83.554,,33.945,41.883,36.292,35.046,52.828,55.316,82.052,30.317,80.743,14.117
Index,2003-06-30,79.944,41.772,91.236,,38.386,42.663,38.235,43.792,56.745,53.661,83.659,31.038,73.365,15.525
Index,2003-09-30,74.481,44.232,85.814,,39.917,45.384,40.727,43.268,66.579,56.97,103.48,37.17,50.76,17.794
Index,2003-12-31,72.448,49.564,81.751,,43.208,47.278,44.186,48.82,74.253,55.618,98.153,39.077,56.078,21.389
Index,2004-03-31,81.626,48.034,87.341,,40.821,48.393,43.453,40.462,80.827,60.661,103.745,43.455,55.502,20.292
Index,2004-06-30,80.383,50.155,83.365,,44.194,49.052,45.586,39.152,80.492,58.812,106.467,45.483,61.227,22.633
Index,2004-09-30,70.271,55.24,78.952,,44.678,51.808,49.441,53.48,76.396,59.87,124.596,50.566,75.566,22.466
Index,2004-12-31,71.624,55.768,75.58,,40.681,52.019,49.503,50.664,73.627,60.357,116.384,49.792,75.737,28.854
Index,2005-03-31,73.043,51.629,78.339,,44.867,50.383,47.437,42.14,62.113,59.361,104.356,51.927,68.463,26.494
Index,2005-06-30,77.148,55.513,83.92,,49.35,52.834,52.008,47.515,64.062,58.427,104.386,60.946,79.297,28.159
Index,2005-09-30,63.604,55.341,93.921,,54.439,55.175,55.8,50.793,69.29,58.503,99.603,74.334,87.384,27.221
