Units,Timepoint,1.10: Information & Communications,1.11: Finance & Insurance,1.12: Real Estate,1.13: Professional Services,1.14: Administrative & Support Services,"1.15: Education, Health & Social Services","1.16: Arts, Entertainment, Recreation & Other Services",1.17: Others,1.1: Manufacturing,1.2: Construction,1.4: Wholesale Trade,1.5: Retail Trade,1.6: Transportation & Storage,1.8: Accommodation,1.9: Food & Beverage Services,1: Total
Number,1990-01-31,24.0,51.0,66.0,124.0,89.0,34.0,93.0,5.0,168.0,147.0,536.0,207.0,119.0,4.0,52.0,1719.0
Number,1990-02-28,49.0,57.0,69.0,143.0,113.0,37.0,101.0,3.0,212.0,216.0,548.0,261.0,112.0,2.0,74.0,1997.0
Number,1990-03-31,61.0,82.0,76.0,166.0,121.0,40.0,134.0,5.0,248.0,239.0,668.0,325.0,126.0,1.0,83.0,2375.0
Number,1990-04-30,39.0,70.0,62.0,132.0,65.0,32.0,116.0,2.0,175.0,202.0,627.0,264.0,104.0,1.0,67.0,1958.0
Number,1990-05-31,47.0,73.0,86.0,170.0,97.0,41.0,134.0,8.0,237.0,233.0,630.0,325.0,109.0,2.0,84.0,2276.0
Number,1990-06-30,37.0,88.0,78.0,124.0,85.0,49.0,102.0,7.0,191.0,205.0,584.0,313.0,121.0,3.0,78.0,2065.0
Number,1990-07-31,54.0,81.0,60.0,139.0,116.0,34.0,92.0,3.0,181.0,218.0,586.0,298.0,117.0,0.0,74.0,2053.0
Number,1990-08-31,49.0,52.0,84.0,148.0,110.0,36.0,122.0,11.0,206.0,220.0,676.0,326.0,147.0,2.0,66.0,2255.0
Number,1990-09-30,55.0,74.0,57.0,145.0,85.0,25.0,112.0,4.0,193.0,193.0,553.0,252.0,89.0,1.0,44.0,1882.0
Number,1990-10-31,50.0,69.0,55.0,155.0,84.0,32.0,100.0,9.0,195.0,216.0,612.0,350.0,123.0,0.0,86.0,2136.0
Number,1990-11-30,42.0,61.0,71.0,136.0,94.0,35.0,103.0,9.0,196.0,187.0,547.0,258.0,96.0,2.0,62.0,1899.0
Number,1990-12-31,35.0,53.0,59.0,108.0,70.0,30.0,83.0,3.0,148.0,141.0,445.0,170.0,82.0,3.0,56.0,1486.0
Number,1991-01-31,52.0,41.0,69.0,185.0,92.0,48.0,113.0,7.0,190.0,250.0,596.0,224.0,105.0,0.0,73.0,2045.0
Number,1991-02-28,33.0,37.0,57.0,122.0,82.0,21.0,78.0,4.0,147.0,220.0,454.0,162.0,92.0,0.0,39.0,1548.0
Number,1991-03-31,64.0,48.0,83.0,164.0,85.0,31.0,126.0,11.0,207.0,276.0,605.0,258.0,149.0,1.0,79.0,2187.0
Number,1991-04-30,56.0,59.0,90.0,177.0,114.0,41.0,112.0,6.0,234.0,341.0,659.0,269.0,142.0,1.0,88.0,2389.0
Number,1991-05-31,54.0,72.0,93.0,168.0,126.0,45.0,126.0,8.0,217.0,326.0,597.0,291.0,125.0,4.0,74.0,2326.0
Number,1991-06-30,51.0,62.0,90.0,173.0,115.0,31.0,119.0,9.0,202.0,263.0,689.0,277.0,145.0,1.0,76.0,2303.0
Number,1991-07-31,65.0,59.0,83.0,177.0,111.0,45.0,107.0,8.0,246.0,326.0,700.0,335.0,126.0,2.0,97.0,2487.0
Number,1991-08-31,62.0,63.0,97.0,164.0,88.0,40.0,107.0,10.0,182.0,303.0,651.0,267.0,126.0,1.0,78.0,2239.0
Number,1991-09-30,50.0,53.0,86.0,147.0,104.0,36.0,105.0,9.0,184.0,219.0,633.0,278.0,95.0,3.0,89.0,2091.0
Number,1991-10-31,63.0,50.0,83.0,191.0,130.0,46.0,119.0,4.0,185.0,216.0,677.0,310.0,128.0,2.0,105.0,2309.0
Number,1991-11-30,46.0,53.0,70.0,137.0,103.0,37.0,98.0,3.0,190.0,205.0,577.0,286.0,111.0,3.0,71.0,1990.0
Number,1991-12-31,47.0,71.0,56.0,144.0,118.0,49.0,93.0,8.0,154.0,174.0,525.0,249.0,95.0,0.0,60.0,1843.0
Number,1992-01-31,54.0,63.0,61.0,156.0,129.0,33.0,111.0,6.0,183.0,217.0,673.0,275.0,123.0,1.0,86.0,2171.0
Number,1992-02-29,47.0,55.0,68.0,145.0,114.0,34.0,104.0,4.0,177.0,257.0,607.0,256.0,126.0,0.0,73.0,2067.0
Number,1992-03-31,67.0,79.0,99.0,217.0,132.0,41.0,146.0,3.0,207.0,268.0,738.0,328.0,152.0,7.0,109.0,2593.0
Number,1992-04-30,41.0,59.0,83.0,181.0,122.0,52.0,135.0,9.0,217.0,212.0,671.0,306.0,131.0,2.0,77.0,2298.0
Number,1992-05-31,52.0,59.0,88.0,193.0,101.0,44.0,120.0,9.0,190.0,237.0,674.0,287.0,114.0,2.0,96.0,2266.0
Number,1992-06-30,64.0,68.0,75.0,165.0,83.0,46.0,98.0,11.0,203.0,241.0,624.0,288.0,137.0,1.0,88.0,2192.0
Number,1992-07-31,70.0,85.0,104.0,195.0,88.0,69.0,115.0,10.0,220.0,238.0,708.0,275.0,134.0,7.0,105.0,2423.0
Number,1992-08-31,70.0,76.0,84.0,151.0,65.0,46.0,110.0,9.0,158.0,225.0,634.0,277.0,112.0,3.0,83.0,2103.0
Number,1992-09-30,62.0,77.0,82.0,208.0,87.0,55.0,131.0,7.0,192.0,240.0,662.0,311.0,115.0,1.0,85.0,2315.0
Number,1992-10-31,59.0,82.0,93.0,169.0,95.0,49.0,122.0,10.0,217.0,239.0,773.0,337.0,119.0,1.0,79.0,2444.0
Number,1992-11-30,58.0,62.0,69.0,179.0,72.0,41.0,121.0,11.0,174.0,217.0,616.0,277.0,117.0,4.0,101.0,2119.0
Number,1992-12-31,61.0,86.0,87.0,192.0,82.0,44.0,114.0,5.0,146.0,203.0,653.0,228.0,127.0,0.0,89.0,2117.0
Number,1993-01-31,59.0,76.0,80.0,164.0,68.0,45.0,109.0,4.0,164.0,180.0,570.0,215.0,124.0,3.0,58.0,1919.0
Number,1993-02-28,56.0,86.0,88.0,217.0,97.0,58.0,146.0,14.0,215.0,344.0,756.0,330.0,147.0,3.0,99.0,2656.0
Number,1993-03-31,88.0,102.0,106.0,249.0,103.0,57.0,146.0,9.0,268.0,308.0,819.0,371.0,168.0,4.0,108.0,2906.0
Number,1993-04-30,72.0,107.0,131.0,235.0,95.0,57.0,124.0,14.0,201.0,271.0,802.0,382.0,167.0,0.0,107.0,2765.0
Number,1993-05-31,83.0,119.0,128.0,245.0,90.0,61.0,134.0,14.0,219.0,282.0,752.0,330.0,127.0,5.0,102.0,2691.0
Number,1993-06-30,71.0,132.0,108.0,224.0,90.0,65.0,119.0,8.0,209.0,257.0,733.0,314.0,133.0,2.0,92.0,2557.0
Number,1993-07-31,91.0,137.0,113.0,214.0,87.0,61.0,155.0,5.0,204.0,269.0,792.0,312.0,125.0,3.0,121.0,2689.0
Number,1993-08-31,54.0,102.0,104.0,204.0,84.0,53.0,127.0,12.0,228.0,268.0,674.0,282.0,126.0,2.0,123.0,2443.0
Number,1993-09-30,59.0,111.0,108.0,220.0,87.0,56.0,135.0,14.0,208.0,246.0,747.0,316.0,155.0,4.0,110.0,2576.0
Number,1993-10-31,81.0,98.0,109.0,243.0,90.0,51.0,125.0,6.0,205.0,265.0,708.0,290.0,124.0,1.0,96.0,2492.0
Number,1993-11-30,59.0,116.0,87.0,193.0,87.0,47.0,122.0,14.0,147.0,242.0,641.0,281.0,132.0,5.0,109.0,2282.0
Number,1993-12-31,72.0,129.0,63.0,174.0,83.0,74.0,125.0,10.0,172.0,229.0,724.0,260.0,120.0,4.0,74.0,2313.0
Number,1994-01-31,64.0,135.0,109.0,209.0,82.0,57.0,132.0,16.0,166.0,208.0,719.0,241.0,154.0,3.0,93.0,2388.0
Number,1994-02-28,67.0,101.0,82.0,186.0,69.0,51.0,121.0,8.0,179.0,258.0,601.0,194.0,119.0,0.0,57.0,2093.0
Number,1994-03-31,73.0,159.0,139.0,261.0,104.0,70.0,148.0,14.0,251.0,324.0,891.0,356.0,155.0,4.0,128.0,3077.0
Number,1994-04-30,82.0,117.0,125.0,241.0,94.0,51.0,159.0,15.0,230.0,284.0,796.0,316.0,162.0,2.0,101.0,2775.0
Number,1994-05-31,74.0,136.0,107.0,245.0,95.0,44.0,152.0,9.0,200.0,249.0,747.0,295.0,151.0,7.0,95.0,2606.0
Number,1994-06-30,78.0,133.0,103.0,249.0,96.0,59.0,147.0,11.0,195.0,278.0,771.0,344.0,150.0,2.0,91.0,2707.0
Number,1994-07-31,58.0,132.0,120.0,245.0,91.0,68.0,146.0,12.0,205.0,289.0,701.0,308.0,145.0,2.0,109.0,2631.0
Number,1994-08-31,88.0,111.0,102.0,235.0,97.0,71.0,150.0,9.0,215.0,268.0,699.0,305.0,139.0,3.0,116.0,2608.0
Number,1994-09-30,67.0,172.0,116.0,276.0,102.0,64.0,162.0,14.0,190.0,275.0,786.0,338.0,155.0,9.0,115.0,2841.0
Number,1994-10-31,84.0,168.0,116.0,233.0,110.0,73.0,144.0,13.0,193.0,277.0,777.0,331.0,129.0,3.0,113.0,2764.0
Number,1994-11-30,74.0,154.0,117.0,210.0,97.0,70.0,148.0,10.0,173.0,243.0,770.0,301.0,145.0,3.0,125.0,2640.0
Number,1994-12-31,83.0,137.0,107.0,204.0,78.0,76.0,84.0,17.0,168.0,224.0,657.0,253.0,126.0,3.0,106.0,2323.0
Number,1995-01-31,83.0,126.0,102.0,200.0,87.0,56.0,103.0,18.0,145.0,252.0,629.0,222.0,135.0,2.0,83.0,2243.0
Number,1995-02-28,93.0,102.0,82.0,229.0,93.0,64.0,131.0,7.0,207.0,263.0,628.0,265.0,141.0,0.0,92.0,2397.0
Number,1995-03-31,82.0,105.0,115.0,272.0,102.0,82.0,172.0,8.0,299.0,373.0,783.0,338.0,178.0,8.0,108.0,3025.0
Number,1995-04-30,74.0,133.0,120.0,265.0,112.0,52.0,162.0,13.0,244.0,324.0,686.0,333.0,152.0,4.0,121.0,2795.0
Number,1995-05-31,76.0,133.0,94.0,266.0,93.0,56.0,143.0,12.0,192.0,291.0,668.0,286.0,127.0,1.0,132.0,2570.0
