Units,Timepoint,1.0: Food & Live Animals,1.1: Beverages & Tobacco,1.2: Crude Materials (Excl Fuels),"1.3: Mineral Fuels, Lubricants & Related Materials",1.4: Animal & Vegetable Oils Fats & Waxes,1.5: Chemicals & Chemical Products,1.6: Manufactured Goods,1.7: Machinery & Transport Equipment,1.8: Miscellaneous Manufactured Articles,1: Import Price Index - Overall Items,2: Non-Oil Import Price Index
Index,1974-01-31,54.302,44.993,91.11,20.908,110.564,73.554,63.414,115.438,74.592,90.242,110.717
Index,1974-02-28,55.772,45.165,86.217,21.073,127.225,75.51,63.826,116.925,75.781,90.242,110.717
Index,1974-03-31,57.45,45.762,83.596,21.347,126.883,77.093,64.324,118.414,76.079,90.566,111.12
Index,1974-04-30,57.801,46.53,74.688,21.871,154.266,79.979,64.408,120.562,76.772,89.917,109.915
Index,1974-05-31,57.45,46.958,74.251,21.733,147.649,80.165,65.651,121.227,77.168,90.242,110.182
Index,1974-06-30,57.59,47.043,68.398,21.98,157.234,82.213,65.651,122.383,77.466,89.594,109.245
Index,1974-07-31,57.941,47.214,63.418,22.366,160.77,83.238,65.733,122.713,78.059,88.944,108.041
Index,1974-08-31,58.431,47.385,62.895,22.45,167.959,82.028,66.728,124.036,77.762,89.594,108.844
Index,1974-09-30,58.011,47.471,57.041,22.202,170.584,82.4,66.148,124.203,78.356,88.078,106.969
Index,1974-10-31,59.55,47.555,55.033,22.971,177.886,82.307,65.32,124.532,79.149,88.078,106.568
Index,1974-11-30,59.55,48.239,48.481,22.778,180.281,81.469,64.656,125.36,78.852,86.564,104.559
Index,1974-12-31,57.031,48.409,53.111,23.081,184.732,81.842,63.91,126.022,79.545,87.538,105.497
Index,1975-01-31,56.192,48.751,53.024,22.504,174.463,84.075,63.165,126.684,78.752,86.888,105.094
Index,1975-02-28,55.422,49.434,53.722,21.926,174.463,83.983,62.584,125.69,78.555,86.239,104.693
Index,1975-03-31,55.561,49.52,52.673,22.009,159.744,84.075,62.005,125.36,78.752,85.914,104.023
Index,1975-04-30,55.071,49.69,51.887,21.898,139.433,85.006,61.837,125.69,78.653,85.373,103.355
Index,1975-05-31,54.372,49.775,51.276,22.173,135.781,84.914,60.18,125.856,78.455,84.941,102.418
Index,1975-06-30,54.162,50.288,52.587,21.98,112.392,84.914,60.098,126.022,78.555,84.941,102.551
Index,1975-07-31,55.071,51.141,57.566,23.136,105.888,85.006,61.175,127.841,78.455,87.321,105.094
Index,1975-08-31,56.192,51.825,60.361,23.604,104.518,84.262,61.507,130.156,79.149,88.728,106.969
Index,1975-09-30,56.541,52.166,59.226,24.072,105.432,83.983,61.507,130.818,79.347,88.944,106.836
Index,1975-10-31,56.752,51.996,58.526,25.887,111.707,83.703,62.418,130.321,79.545,90.027,106.969
Index,1975-11-30,55.141,53.19,59.312,25.86,114.33,83.983,62.584,132.801,79.942,90.566,107.638
Index,1975-12-31,56.121,53.02,63.505,26.244,116.614,84.448,62.832,133.132,80.238,92.083,109.513
Index,1976-01-31,57.381,53.19,65.689,26.025,110.451,83.89,62.252,135.614,82.22,92.948,110.852
Index,1976-02-29,57.731,52.849,69.882,26.052,105.774,83.703,62.501,135.614,82.616,94.029,112.325
Index,1976-03-31,57.731,53.02,72.764,25.97,107.028,83.703,63.081,135.614,82.517,94.679,113.396
Index,1976-04-30,57.731,52.849,73.289,25.255,106.571,83.424,63.247,136.109,83.013,94.571,113.798
Index,1976-05-31,57.66,53.02,77.395,25.255,95.732,82.959,63.247,135.945,83.013,95.328,114.734
Index,1976-06-30,58.291,54.045,80.016,25.172,106.23,83.517,64.242,135.614,83.112,96.085,116.207
Index,1976-07-31,58.501,54.3,76.784,25.228,109.539,84.075,64.738,136.109,82.318,95.761,115.537
Index,1976-08-31,59.201,53.447,76.696,25.228,109.995,84.355,64.987,136.606,82.022,95.977,115.807
Index,1976-09-30,60.32,53.361,75.123,25.31,117.639,84.075,65.236,136.276,82.22,95.977,115.671
Index,1976-10-31,61.581,53.532,78.356,25.31,116.954,84.262,65.071,137.102,82.517,96.951,117.278
Index,1976-11-30,60.739,53.361,78.618,25.255,123.003,84.448,65.32,138.096,84.003,97.276,117.68
Index,1976-12-31,63.189,53.276,76.084,25.146,126.883,84.262,65.154,137.764,84.201,97.059,117.411
Index,1977-01-31,65.008,52.508,76.434,25.97,132.245,82.679,64.822,137.434,85.291,97.817,117.68
Index,1977-02-28,67.037,52.251,76.784,27.84,136.238,83.238,65.32,137.267,85.389,99.223,118.616
Index,1977-03-31,67.808,52.763,78.181,27.154,144.682,83.331,65.651,138.589,85.588,99.764,119.689
Index,1977-04-30,68.508,53.105,77.656,27.236,162.825,83.424,65.733,139.747,86.182,100.305,120.357
Index,1977-05-31,69.416,53.105,77.57,27.372,169.785,82.773,65.071,139.915,86.083,100.305,120.223
Index,1977-06-30,69.697,53.617,77.307,27.319,174.235,83.051,65.816,138.921,86.48,100.305,120.357
Index,1977-07-31,67.248,53.617,77.918,27.29,176.402,83.238,65.9,139.915,86.975,100.305,120.491
Index,1977-08-31,68.997,53.874,78.793,27.483,161.911,83.517,66.065,140.244,87.074,100.954,121.16
Index,1977-09-30,69.697,54.386,82.811,27.511,148.905,83.424,66.563,140.408,87.173,102.146,122.633
Index,1977-10-31,69.697,54.3,82.549,27.565,138.749,83.517,66.314,140.74,87.57,102.036,122.5
Index,1977-11-30,69.767,54.3,81.151,26.657,130.989,83.61,66.811,141.566,87.867,101.386,122.365
Index,1977-12-31,66.828,54.3,78.618,26.493,128.822,83.424,66.398,141.566,87.867,100.197,120.759
Index,1978-01-31,68.227,54.472,79.141,26.438,125.969,83.238,66.728,143.22,88.262,100.954,121.829
Index,1978-02-28,68.718,55.41,79.317,26.327,126.769,83.051,67.309,144.049,88.065,101.386,122.365
Index,1978-03-31,67.948,55.666,79.754,26.382,133.157,82.959,68.302,145.039,88.164,101.82,123.036
Index,1978-04-30,69.416,55.923,79.666,26.244,137.037,83.331,68.8,146.197,88.758,102.47,124.105
Index,1978-05-31,69.347,56.435,82.287,26.52,148.905,83.424,69.381,147.355,88.262,103.552,125.444
Index,1978-06-30,68.997,56.435,86.393,26.244,157.234,83.424,70.292,148.513,88.956,104.741,127.32
Index,1978-07-31,67.738,56.691,86.393,26.162,159.173,83.703,70.791,149.176,89.649,104.958,127.72
Index,1978-08-31,68.087,56.861,88.489,25.75,158.602,83.983,70.956,149.176,89.947,105.175,128.39
Index,1978-09-30,67.457,56.691,91.371,25.503,156.32,83.983,71.868,149.837,90.144,106.148,129.729
Index,1978-10-31,68.718,57.033,94.603,25.035,157.234,83.238,71.786,150.167,90.442,106.798,131.067
Index,1978-11-30,68.718,56.861,95.913,25.035,158.032,83.796,71.868,149.176,89.749,106.798,131.202
Index,1978-12-31,67.808,57.033,93.031,25.31,155.75,83.796,72.034,148.679,90.342,106.257,129.996
Index,1979-01-31,68.298,56.947,92.07,26.052,154.266,83.983,73.029,150.334,90.738,107.122,130.666
