Units,Timepoint,1.13: Textiles,1.14: Wearing Apparel,1.15: Leather Products,1.16: Wood And Of Products Of Wood And Cork,1.17: Paper & Paper Products,1.18: Printing And Reproduction Of Recorded Media,1.19: Refined Petroleum Products,"1.1: Food, Beverage & Tobacco",1.20: Chemicals & Chemical Products,1.21: Pharmaceuticals And Biological Products,1.22: Rubber & Plastic Products,1.23: Non-Metallic Mineral Products,1.24: Basic Metals,1.25: Fabricated Metal Products,"1.26: Computer, Electronic & Optical Products",1.27: Electrical Equipment,1.28: Machinery & Equipment,"1.29: Motor Vehicles, Trailers And Semi-Trailers",1.30: Other Transport Equipment,1.31: Furniture,1.32: Other Manufacturing Industries,1: Total
Index,1983-01-31,4329.285,2528.086,475.518,827.088,99.859,98.335,66.976,48.328,,,135.571,799.056,68.884,54.594,,16.051,20.548,,17.28,,,11.878
Index,1983-02-28,2727.44,1810.34,303.44,424.82,43.902,66.985,53.131,39.163,,,118.084,369.328,40.451,49.674,,15.133,14.471,,16.91,,,9.412
Index,1983-03-31,4330.46,2387.64,252.483,712.819,70.524,105.301,53.806,52.624,,,157.057,450.911,71.246,66.353,,20.535,19.825,,18.111,,,12.009
Index,1983-04-30,3426.78,2171.64,303.952,755.88,64.596,96.994,55.27,39.664,,,132.574,507.956,66.204,66.112,,20.535,14.977,,15.061,,,10.645
Index,1983-05-31,3147.43,2098.99,267.592,620.921,71.026,98.065,78.459,38.448,,,143.399,549.272,86.911,63.473,,19.822,14.399,,14.507,,,10.775
Index,1983-06-30,3221.28,2865.16,283.724,780.111,70.524,102.622,50.429,43.029,,,143.399,469.575,62.339,67.192,,16.866,17.872,,13.953,,,10.451
Index,1983-07-31,3676.04,2594.92,295.248,427.057,70.725,95.12,63.825,36.872,,,143.399,403.513,55.58,63.713,,17.019,13.747,,14.229,,,11.23
Index,1983-08-31,3250.19,3014.33,398.441,803.04,74.04,124.325,75.87,42.027,,,150.394,421.339,60.623,64.432,,17.121,14.253,,14.784,,,12.333
Index,1983-09-30,3538.13,2685.97,356.191,432.278,63.894,105.568,58.422,36.228,,,141.734,356.325,53.434,72.472,,16.969,21.272,,14.507,,,12.203
Index,1983-10-31,3713.16,2578.46,409.197,588.859,57.866,105.568,64.163,36.801,,,156.556,370.584,68.778,63.113,,22.93,21.199,,15.246,,,12.852
Index,1983-11-30,2707.51,3458.93,437.107,561.271,53.848,133.971,70.579,38.949,,,130.908,518.024,110.945,68.633,,20.433,13.747,,15.708,,,11.424
Index,1983-12-31,3455.3,4457.57,404.074,489.691,66.808,124.054,59.772,40.882,,,146.065,456.574,56.868,73.432,,20.943,17.292,,18.48,,,12.917
Index,1984-01-31,3731.91,2897.13,582.811,599.67,56.058,105.568,84.537,47.97,,,140.068,734.25,56.225,69.112,,20.128,17.002,,18.204,,,13.112
Index,1984-02-29,2817.69,1868.46,360.287,397.233,39.983,81.187,77.559,32.505,,,146.73,264.253,47.319,60.594,,19.363,14.471,,17.464,,,10.905
Index,1984-03-31,4022.98,3158.66,381.286,634.529,57.062,113.338,63.375,45.106,,,163.551,449.023,67.919,76.673,,23.746,20.621,,17.557,,,13.242
Index,1984-04-30,3046.63,2477.72,365.922,595.569,58.468,111.731,60.673,34.367,,,133.073,459.72,65.236,78.351,,21.759,13.747,,17.557,,,11.749
Index,1984-05-31,2873.56,2323.71,383.846,424.076,65.2,114.143,77.67,42.17,,,147.397,528.509,85.731,74.391,,21.045,14.542,,22.084,,,12.203
