Units,Timepoint,"1.1.1.1: Food, Beverages & Tobacco",1.1.1.2: Paper/Rubber/Plastic Products & Printing,"1.1.1.3: Petroleum, Chemical & Pharmaceutical Products","1.1.1.4: Fabricated Metal Products, Machinery & Equipment","1.1.1.5: Electronic, Computer & Optical Products",1.1.1.6: Transport Equipment,1.1.1.7: Other Manufacturing Industries,1.1.1: Manufacturing,1.1.2: Construction,1.1: Goods Producing Industries,1.2.1.1: Wholesale Trade,1.2.1.2: Retail Trade,1.2.1: Wholesale And Retail Trade,1.2.2.1: Land Transport & Supporting Services,1.2.2.2: Water Transport & Supporting Services,1.2.2.3: Air Transport & Supporting Services,1.2.2.4: Other Transportation & Storage Services,1.2.2: Transportation And Storage,1.2.3.1: Accommodation,1.2.3.2: Food & Beverage Services,1.2.3: Accommodation And Food Services,"1.2.4.1: Telecommunications, Broadcasting & Publishing",1.2.4.2: IT & Other Information Services,1.2.4: Information And Communications,1.2.5.1: Financial Services,1.2.5.2: Insurance Services,1.2.5: Financial And Insurance Services,1.2.6: Real Estate Services,"1.2.7.1: Legal, Accounting & Management Services",1.2.7.2: Architectural & Engineering Services,1.2.7.3: Other Professional Services,1.2.7: Professional Services,1.2.8.1: Security & Investigation,1.2.8.2: Cleaning & Landscaping,1.2.8.3: Other Administrative & Support Services,1.2.8: Administrative And Support Services,1.2.9.1: Public Administration & Education,1.2.9.2: Health & Social Services,"1.2.9.3: Arts, Entertainment & Recreation","1.2.9.4: Other Community, Social & Personal Services","1.2.9: Community, Social And Personal Services",1.2: Services,1.3: Others,1: Total,"2: Professionals, Managers, Executives & Technicians","3: Clerical, Sales & Service Workers","4: Production & Transport Operators, Cleaners & Labourers"
Number,1990-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45100.0,,,
Number,1990-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46100.0,,,
Number,1990-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47300.0,,,
Number,1990-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36100.0,,,
Number,1991-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40400.0,,,
Number,1991-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39700.0,,,
Number,1991-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40900.0,,,
Number,1991-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31400.0,,,
Number,1992-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38700.0,,,
Number,1992-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41700.0,,,
Number,1992-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37900.0,,,
Number,1992-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34100.0,,,
Number,1993-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39300.0,,,
Number,1993-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39000.0,,,
