Units,Timepoint,1.1.1: Petroleum,1.1.2: Oil Bunkers,1.1: Oil,1.2.1: Food & Live Animals,1.2.2: Beverages & Tobacco,1.2.3: Crude Materials (Excl Fuels),1.2.5: Animal & Vegetable Oils Fats & Waxes,1.2.6: Chemicals & Chemical Products,1.2.7: Manufactured Goods,1.2.8: Machinery & Transport Equipment,1.2.999: Miscellaneous (Excluding Oil Bunkers),1.2.9: Miscellaneous Manufactured Articles,1.2: Non-Oil,"1: Total Merchandise Trade, (At 2018 Prices)",2.1.1: Petroleum,2.1: Oil,2.2.1: Food & Live Animals,2.2.2: Beverages & Tobacco,2.2.3: Crude Materials (Excl Fuels),2.2.5: Animal & Vegetable Oils Fats & Waxes,2.2.6: Chemicals & Chemical Products,2.2.7: Manufactured Goods,2.2.8: Machinery & Transport Equipment,2.2.999: Miscellaneous (Excluding Oil Bunkers),2.2.9: Miscellaneous Manufactured Articles,2.2: Non-Oil,"2: Total Merchandise Imports, (At 2018 Prices)",3.1.1: Petroleum,3.1.2: Oil Bunkers,3.1: Oil,3.2.1: Food & Live Animals,3.2.2: Beverages & Tobacco,3.2.3: Crude Materials (Excl Fuels),3.2.5: Animal & Vegetable Oils Fats & Waxes,3.2.6: Chemicals & Chemical Products,3.2.7: Manufactured Goods,3.2.8: Machinery & Transport Equipment,3.2.999: Miscellaneous (Excluding Oil Bunkers),3.2.9: Miscellaneous Manufactured Articles,3.2: Non-Oil,"3: Total Merchandise Exports, (At 2018 Prices)",4.1.1: Petroleum,4.1.2: Oil Bunkers,4.1: Oil,4.2.1: Food & Live Animals,4.2.2: Beverages & Tobacco,4.2.3: Crude Materials (Excl Fuels),4.2.5: Animal & Vegetable Oils Fats & Waxes,4.2.6: Chemicals & Chemical Products,4.2.7: Manufactured Goods,4.2.8: Machinery & Transport Equipment,4.2.999: Miscellaneous (Excluding Oil Bunkers),4.2.9: Miscellaneous Manufactured Articles,4.2: Non-Oil,"4: Total Domestic Exports, (At 2018 Prices)",5.1.1: Petroleum,5.1: Oil,5.2.1: Food & Live Animals,5.2.2: Beverages & Tobacco,5.2.3: Crude Materials (Excl Fuels),5.2.5: Animal & Vegetable Oils Fats & Waxes,5.2.6: Chemicals & Chemical Products,5.2.7: Manufactured Goods,5.2.8: Machinery & Transport Equipment,5.2.999: Miscellaneous (Excluding Oil Bunkers),5.2.9: Miscellaneous Manufactured Articles,5.2: Non-Oil,"5: Total Re-Exports, (At 2018 Prices)"
Thousand Dollars,1978-01-31,3789355.2,251144.1,4040499.3,502897.0,35029.4,613268.5,64389.5,219261.2,754543.6,639292.7,62620.7,296836.2,3188138.8,7228638.1,2594553.0,2594553.0,302941.3,21754.1,277708.0,30019.8,139043.3,500051.0,452883.4,38227.7,176355.6,1938984.2,4533537.3,1194802.2,251144.1,1445946.3,199955.7,13275.3,335560.6,34369.6,80218.0,254492.6,186409.3,24392.9,120480.6,1249154.6,2695100.9,1174813.6,251144.1,1425957.6,38995.3,8976.2,12339.3,10530.8,42151.9,148359.2,72618.1,885.0,85892.8,420748.5,1846706.2,19988.6,19988.6,160960.4,4299.1,323221.2,23838.9,38066.1,106133.4,113791.2,23507.9,34587.8,828406.1,848394.7
Thousand Dollars,1978-02-28,2650157.9,265846.6,2916004.5,411058.4,31104.3,492600.7,54584.3,198928.7,608210.3,572966.9,49672.1,230032.2,2649157.9,5565162.3,1649197.7,1649197.7,267397.4,22844.8,208785.6,24748.4,120687.1,427362.6,425081.3,30876.7,140124.9,1667908.7,3317106.4,1000960.1,265846.6,1266806.7,143661.0,8259.5,283815.1,29835.9,78241.6,180847.7,147885.7,18795.4,89907.3,981249.2,2248055.9,945983.0,265846.6,1211829.5,28334.9,6077.2,10933.7,5783.0,43096.0,84688.7,59872.5,1136.6,60153.6,300076.3,1511905.8,54977.2,54977.2,115326.1,2182.3,272881.5,24052.8,35145.6,96159.0,88013.2,17658.8,29753.7,681172.9,736150.1
Thousand Dollars,1978-03-31,3289331.4,289296.3,3578627.7,406725.5,48276.5,656124.1,53618.4,245930.7,763462.0,762031.2,58280.2,284880.1,3279328.5,6857956.2,1875170.5,1875170.5,232290.1,34624.8,259614.0,25199.7,151689.2,508448.0,525095.2,26522.6,168066.9,1931550.5,3806720.9,1414160.9,289296.3,1703457.2,174435.3,13651.7,396510.0,28418.7,94241.5,255013.9,236936.0,31757.6,116813.2,1347778.0,3051235.3,1392649.6,289296.3,1681945.9,41768.2,9700.2,9071.4,8567.4,40537.9,103526.4,97931.8,1157.4,78712.3,390973.0,2072918.9,21511.4,21511.4,132667.2,3951.5,387438.6,19851.4,53703.6,151487.6,139004.1,30600.2,38100.9,956805.0,978316.4
Thousand Dollars,1978-04-30,3862826.7,264275.6,4127102.3,442306.8,40080.4,542208.0,49124.4,273675.9,752689.3,700684.3,52736.9,299180.9,3152687.0,7279789.3,2473992.4,2473992.4,280315.6,25211.1,206761.6,22619.7,159729.9,473891.0,473444.6,31197.1,165559.7,1838730.2,4312722.6,1388834.3,264275.6,1653109.9,161991.2,14869.3,335446.4,26504.7,113946.0,278798.4,227239.7,21539.8,133621.2,1313956.8,2967066.7,1288704.5,264275.6,1552980.1,36827.0,11495.4,11964.6,8263.9,60088.8,114836.1,84548.9,1043.3,96866.7,425934.7,1978914.8,100129.8,100129.8,125164.3,3373.9,323481.8,18240.9,53857.1,163962.2,142690.8,20496.6,36754.5,888022.1,988151.9
Thousand Dollars,1978-05-31,3057680.0,317099.2,3374779.1,384619.8,29987.5,537012.0,38514.8,232333.4,728977.8,671575.3,43315.0,292636.5,2958972.1,6333751.3,1940709.4,1940709.4,227616.2,18147.2,238200.5,20486.2,145142.7,494227.7,455833.1,22283.8,167631.9,1789569.2,3730278.7,1116970.5,317099.2,1434069.7,157003.7,11840.3,298811.5,18028.6,87190.7,234750.2,215742.2,21031.2,125004.6,1169402.9,2603472.6,1086781.9,317099.2,1403881.0,35602.5,9622.3,12103.1,7399.3,37257.9,80123.4,98034.6,802.4,86439.4,367384.9,1771265.9,30188.7,30188.7,121401.2,2218.1,286708.4,10629.3,49932.9,154626.8,117707.6,20228.8,38565.1,802018.0,832206.7
Thousand Dollars,1978-06-30,3602980.2,264991.5,3867971.7,477509.4,44158.4,561858.5,48197.7,247167.4,734542.2,725658.1,48108.0,316890.7,3204090.3,7072062.0,2217958.0,2217958.0,289478.3,25774.8,257497.7,24036.9,155417.3,513903.3,513007.4,27989.5,184015.7,1991120.8,4209078.8,1385022.2,264991.5,1650013.7,188031.2,18383.5,304360.8,24160.8,91750.2,220638.9,212650.7,20118.5,132875.0,1212969.5,2862983.2,1365339.0,264991.5,1630330.5,40206.5,15950.9,8102.7,9343.3,46159.0,100876.5,88062.8,1023.9,94915.4,404641.1,2034971.6,19683.2,19683.2,147824.6,2432.6,296258.1,14817.4,45591.1,119762.4,124587.9,19094.6,37959.6,808328.4,828011.6
Thousand Dollars,1978-07-31,3598484.4,273625.7,3872110.1,447886.4,39954.6,528153.7,52317.9,276156.4,819777.3,770352.2,51323.4,325576.0,3311497.8,7183608.0,2394950.4,2394950.4,267559.8,21943.6,211297.5,28013.2,178101.6,571370.1,550091.2,26839.0,184042.4,2039258.3,4434208.6,1203534.0,273625.7,1477159.7,180326.6,18011.0,316856.2,24304.7,98054.9,248407.3,220261.1,24484.3,141533.6,1272239.6,2749399.3,1176171.4,273625.7,1449797.1,35920.4,14827.6,9095.8,8297.1,50467.0,104157.3,92098.9,1200.5,104602.8,420667.4,1870464.5,27362.6,27362.6,144406.2,3183.4,307760.4,16007.5,47587.8,144250.0,128162.2,23283.8,36930.8,851572.2,878934.8
Thousand Dollars,1978-08-31,3243221.1,292191.4,3535412.5,446870.7,43761.1,626904.6,64652.1,261960.4,900107.7,726616.6,55079.2,344860.9,3470813.4,7006225.9,2041612.4,2041612.4,263541.9,25332.2,265344.6,27627.4,164334.5,622945.1,462453.1,31430.6,198800.9,2061810.2,4103422.6,1201608.7,292191.4,1493800.1,183328.8,18429.0,361559.9,37024.7,97625.9,277162.6,264163.6,23648.6,146060.0,1409003.2,2902803.3,1169325.7,292191.4,1461517.1,35239.3,14413.2,10201.8,17039.8,48118.7,99203.5,97408.2,1049.8,105910.9,428585.2,1890102.3,32282.9,32282.9,148089.6,4015.8,351358.2,19984.9,49507.1,177959.2,166755.4,22598.9,40149.1,980418.0,1012701.0
Thousand Dollars,1978-09-30,4168621.1,277956.9,4446578.0,443079.7,43338.2,577795.3,62484.6,275910.7,841763.8,647811.6,50352.7,318013.5,3260550.1,7707128.1,2514192.2,2514192.2,271803.0,26811.3,242502.2,29646.2,181546.4,616986.1,431931.2,27327.1,194180.9,2022734.4,4536926.5,1654429.0,277956.9,1932385.9,171276.8,16526.9,335293.1,32838.4,94364.3,224777.7,215880.4,23025.7,123832.6,1237815.7,3170201.6,1623727.0,277956.9,1901683.9,32661.9,12516.3,14426.6,10736.6,49783.4,96089.2,94224.9,849.4,89951.3,401239.6,2302923.6,30702.0,30702.0,138614.8,4010.6,320866.5,22101.7,44581.0,128688.5,121655.5,22176.2,33881.2,836576.1,867278.0
Thousand Dollars,1978-10-31,4414558.2,280158.8,4694717.1,413248.1,38431.4,556564.5,65207.7,270338.7,795714.3,792905.3,68242.4,329164.2,3329816.6,8024533.6,3066028.0,3066028.0,252205.2,21680.7,239392.2,30042.6,173837.7,543150.4,564755.7,25921.3,179813.1,2030799.0,5096827.0,1348530.2,280158.8,1628689.1,161042.8,16750.7,317172.4,35165.1,96500.9,252563.9,228149.6,42321.1,149351.1,1299017.6,2927706.7,1320138.2,280158.8,1600297.1,27159.3,10440.2,8772.8,13009.9,46920.4,83853.5,101020.4,1093.5,107744.9,400015.0,2000312.1,28392.0,28392.0,133883.6,6310.5,308399.6,22155.2,49580.5,168710.3,127129.2,41227.5,41606.2,899002.6,927394.6
