Units,Timepoint,1.1: Special Drawing Rights,1.2: Reserve Position In The International Monetary Fund,1.3: Gold & Foreign Exchange,1: Total Official Foreign Reserves,2: Total Foreign Reserves
Million Dollars,1973-01-31,0.0,28.3,5038.2,5066.5,
Million Dollars,1973-02-28,0.0,28.3,5104.3,5132.6,
Million Dollars,1973-03-31,0.0,28.3,5228.0,5256.3,
Million Dollars,1973-04-30,0.0,28.3,5360.6,5388.9,
Million Dollars,1973-05-31,0.0,28.3,5532.3,5560.6,
Million Dollars,1973-06-30,0.0,28.3,5682.2,5710.5,
Million Dollars,1973-07-31,0.0,28.3,5752.4,5780.7,
Million Dollars,1973-08-31,0.0,28.3,5759.2,5787.5,
Million Dollars,1973-09-30,0.0,28.3,5735.2,5763.5,
Million Dollars,1973-10-31,0.0,28.3,5743.3,5771.6,
Million Dollars,1973-11-30,0.0,28.3,5751.3,5779.6,
Million Dollars,1973-12-31,0.0,28.3,5771.8,5800.1,
Million Dollars,1974-01-31,0.0,28.3,5814.9,5843.2,
Million Dollars,1974-02-28,0.0,28.3,5856.3,5884.6,
Million Dollars,1974-03-31,0.0,28.3,5938.0,5966.3,
Million Dollars,1974-04-30,0.0,28.3,5989.3,6017.6,
Million Dollars,1974-05-31,0.0,28.3,6009.6,6037.9,
Million Dollars,1974-06-30,0.0,28.3,6091.0,6119.3,
Million Dollars,1974-07-31,0.0,28.3,6125.1,6153.4,
Million Dollars,1974-08-31,0.0,28.3,6199.8,6228.1,
Million Dollars,1974-09-30,0.0,28.3,6323.1,6351.4,
Million Dollars,1974-10-31,0.0,28.3,6336.9,6365.2,
Million Dollars,1974-11-30,0.0,28.3,6395.1,6423.4,
Million Dollars,1974-12-31,0.0,28.3,6474.6,6502.9,
Million Dollars,1975-01-31,0.0,28.3,6591.8,6620.1,
Million Dollars,1975-02-28,0.0,28.3,6735.6,6763.9,
Million Dollars,1975-03-31,0.0,28.3,6824.7,6853.0,
Million Dollars,1975-04-30,0.0,28.3,6937.6,6965.9,
Million Dollars,1975-05-31,0.0,28.3,7044.7,7073.0,
Million Dollars,1975-06-30,0.0,28.3,7223.7,7252.0,
Million Dollars,1975-07-31,0.0,28.3,7291.6,7319.9,
Million Dollars,1975-08-31,0.0,28.3,7305.1,7333.4,
Million Dollars,1975-09-30,0.0,28.3,7347.2,7375.5,
Million Dollars,1975-10-31,0.0,28.3,7379.5,7407.8,
Million Dollars,1975-11-30,0.0,28.3,7407.6,7435.9,
Million Dollars,1975-12-31,0.0,28.3,7457.7,7486.0,
Million Dollars,1976-01-31,0.0,28.3,7557.0,7585.3,
Million Dollars,1976-02-29,0.0,28.3,7685.0,7713.3,
Million Dollars,1976-03-31,0.0,28.3,7741.8,7770.1,
