Units,Timepoint,1.10: Recreational Goods,1.11: Watches & Jewellery,1.12: Computer & Telecommunications Equipment,1.13: Optical Goods & Books,1.14: Others,1.1: Department Stores,1.2: Supermarkets & Hypermarkets,1.3: Mini-Marts & Convenience Stores,1.4: Food & Alcohol,1.5: Motor Vehicles,1.6: Petrol Service Stations,"1.7: Cosmetics, Toiletries & Medical Goods",1.8: Wearing Apparel & Footwear,1.9: Furniture & Household Equipment,1: Total,2: Total (Excluding Motor Vehicles)
Index,1985-01-31,,,,,,,,88.653,,15.181,88.802,,,55.07,33.723,52.758
Index,1985-02-28,,,,,,,,120.053,,13.794,80.792,,,44.578,32.82,52.35
Index,1985-03-31,,,,,,,,83.918,,9.106,74.494,,,44.296,27.902,47.19
Index,1985-04-30,,,,,,,,85.197,,6.725,76.126,,,43.109,22.582,38.86
Index,1985-05-31,,,,,,,,86.462,,6.733,78.07,,,48.971,23.786,41.279
Index,1985-06-30,,,,,,,,77.971,,5.053,70.762,,,41.287,21.779,38.933
Index,1985-07-31,,,,,,,,86.114,,5.557,74.028,,,37.269,22.005,38.868
Index,1985-08-31,,,,,,,,92.742,,5.674,76.127,,,34.108,23.008,40.759
Index,1985-09-30,,,,,,,,88.128,,5.601,77.294,,,35.6,22.33,39.464
Index,1985-10-31,,,,,,,,87.617,,4.871,80.016,,,34.218,21.754,39.072
Index,1985-11-30,,,,,,,,90.982,,4.308,77.994,,,37.731,22.882,41.932
Index,1985-12-31,,,,,,,,102.049,,5.076,82.349,,,46.158,26.922,49.324
Index,1986-01-31,,,,,,,,118.041,,9.08,82.554,,,43.805,28.018,47.439
Index,1986-02-28,,,,,,,,100.361,,7.977,77.154,,,36.447,23.777,39.98
Index,1986-03-31,,,,,,,,87.11,,5.351,83.051,,,35.446,21.841,38.747
Index,1986-04-30,,,,,,,,84.739,,4.694,84.283,,,30.482,20.377,36.456
Index,1986-05-31,,,,,,,,85.213,,3.497,83.4,,,34.444,20.946,38.833
Index,1986-06-30,,,,,,,,76.387,,4.898,79.349,,,35.448,20.305,36.102
Index,1986-07-31,,,,,,,,83.631,,4.494,82.16,,,32.911,21.265,38.459
Index,1986-08-31,,,,,,,,86.549,,4.96,97.185,,,25.289,21.618,38.697
Index,1986-09-30,,,,,,,,83.033,,4.847,81.883,,,29.305,20.646,36.844
Index,1986-10-31,,,,,,,,84.293,,4.362,80.981,,,34.784,20.998,38.052
Index,1986-11-30,,,,,,,,82.966,,4.323,76.873,,,29.544,21.446,39.0
Index,1986-12-31,,,,,,,,95.807,,6.01,87.536,,,36.385,26.511,47.528
Index,1987-01-31,,,,,,,,117.199,,10.983,83.221,,,36.253,29.25,48.082
Index,1987-02-28,,,,,,,,91.692,,2.7,77.138,,,34.135,22.086,40.68
Index,1987-03-31,,,,,,,,95.438,,6.149,89.19,,,36.533,25.523,44.64
Index,1987-04-30,,,,,,,,93.325,,8.946,88.391,,,33.619,25.516,42.443
Index,1987-05-31,,,,,,,,94.993,,7.926,92.398,,,36.118,26.717,45.567
Index,1987-06-30,,,,,,,,94.372,,9.062,86.42,,,39.289,26.738,44.721
Index,1987-07-31,,,,,,,,93.539,,9.651,97.948,,,35.584,27.325,45.396
Index,1987-08-31,,,,,,,,94.81,,10.096,87.761,,,37.558,28.289,46.918
Index,1987-09-30,,,,,,,,98.163,,9.745,92.851,,,34.905,27.494,45.651
Index,1987-10-31,,,,,,,,97.327,,8.831,98.978,,,37.226,28.096,47.531
Index,1987-11-30,,,,,,,,95.135,,11.967,90.979,,,37.58,29.935,48.643
Index,1987-12-31,,,,,,,,101.131,,10.879,100.043,,,40.705,33.667,56.726
Index,1988-01-31,,,,,,,,99.181,,23.031,86.842,,,38.623,35.304,50.331
Index,1988-02-29,,,,,,,,107.114,,14.929,92.369,,,32.033,32.038,50.361
Index,1988-03-31,,,,,,,,91.259,,9.897,92.919,,,36.706,29.977,50.32
Index,1988-04-30,,,,,,,,89.27,,16.164,90.741,,,37.174,30.373,46.166
Index,1988-05-31,,,,,,,,89.651,,18.112,88.185,,,37.037,32.53,48.818
Index,1988-06-30,,,,,,,,88.879,,17.007,90.373,,,35.771,31.105,46.922
Index,1988-07-31,,,,,,,,91.216,,16.483,91.331,,,36.261,32.234,49.522
Index,1988-08-31,,,,,,,,90.111,,21.288,93.885,,,37.504,34.977,51.066
Index,1988-09-30,,,,,,,,87.807,,20.972,93.885,,,37.57,34.151,49.713
Index,1988-10-31,,,,,,,,89.637,,27.632,90.653,,,38.333,37.551,51.073
Index,1988-11-30,,,,,,,,89.695,,21.646,87.044,,,37.425,35.716,52.218
Index,1988-12-31,,,,,,,,97.473,,37.802,87.482,,,43.671,47.312,62.006
Index,1989-01-31,,,,,,,,104.441,,35.606,94.741,,,39.736,44.97,59.218
Index,1989-02-28,,,,,,,,82.806,,30.702,90.919,,,29.134,38.207,49.958
Index,1989-03-31,,,,,,,,83.115,,31.084,98.44,,,38.674,40.178,53.482
Index,1989-04-30,,,,,,,,82.124,,24.895,95.269,,,38.209,35.68,49.622
Index,1989-05-31,,,,,,,,83.348,,21.477,94.591,,,38.29,34.98,50.95
Index,1989-06-30,,,,,,,,82.032,,19.278,94.02,,,36.093,33.36,49.536
Index,1989-07-31,,,,,,,,82.015,,18.559,100.427,,,36.112,34.509,52.327
Index,1989-08-31,,,,,,,,84.946,,21.607,103.264,,,42.399,37.389,55.517
Index,1989-09-30,,,,,,,,83.86,,23.574,98.34,,,36.521,37.301,53.8
Index,1989-10-31,,,,,,,,83.788,,23.011,103.594,,,38.01,37.3,54.242
Index,1989-11-30,,,,,,,,81.591,,23.663,101.722,,,50.066,39.215,57.443
Index,1989-12-31,,,,,,,,92.204,,30.19,104.589,,,55.858,46.868,67.152
Index,1990-01-31,,,,,,,,106.849,,46.136,106.155,,,44.766,51.447,63.507
Index,1990-02-28,,,,,,,,80.677,,27.78,98.521,,,38.477,37.798,51.458
Index,1990-03-31,,,,,,,,86.815,,31.294,106.02,,,41.358,41.9,56.651
Index,1990-04-30,,,,,,,,87.455,,41.025,98.229,,,41.008,44.505,54.062
Index,1990-05-31,,,,,,,,88.01,,12.314,105.218,,,42.481,33.108,54.508
Index,1990-06-30,,,,,,,,83.605,,16.114,99.204,,,37.823,35.141,55.466
Index,1990-07-31,,,,,,,,84.659,,11.664,103.028,,,39.547,35.297,59.293
Index,1990-08-31,,,,,,,,89.42,,16.55,108.6,,,39.965,36.364,57.494
Index,1990-09-30,,,,,,,,85.02,,15.154,90.357,,,39.778,33.304,52.66
Index,1990-10-31,,,,,,,,85.686,,25.19,99.303,,,43.623,38.221,54.312
Index,1990-11-30,,,,,,,,83.308,,15.897,103.455,,,43.653,35.53,56.39
Index,1990-12-31,,,,,,,,92.279,,29.212,103.5,,,60.878,47.327,68.807
Index,1991-01-31,,,,,,,,101.382,,23.034,107.038,,,49.651,40.386,60.281
Index,1991-02-28,,,,,,,,96.426,,27.968,97.86,,,36.287,39.235,54.197
Index,1991-03-31,,,,,,,,90.208,,22.902,110.026,,,43.127,37.646,55.041
Index,1991-04-30,,,,,,,,89.307,,27.863,110.346,,,43.853,37.965,51.829
Index,1991-05-31,,,,,,,,92.461,,24.116,110.453,,,46.117,37.845,54.534
Index,1991-06-30,,,,,,,,84.351,,21.848,102.343,,,44.079,36.376,53.407
Index,1991-07-31,,,,,,,,89.668,,24.354,107.892,,,44.26,38.004,54.591
Index,1991-08-31,,,,,,,,94.084,,27.388,108.0,,,41.497,40.109,56.338
Index,1991-09-30,,,,,,,,81.468,,23.405,106.612,,,42.086,37.29,53.971
Index,1991-10-31,,,,,,,,89.308,,35.04,106.72,,,47.885,43.644,57.126
Index,1991-11-30,,,,,,,,86.334,,34.222,107.147,,,46.888,43.446,57.408
Index,1991-12-31,,,,,,,,86.785,,24.117,107.36,,,57.987,44.478,67.323
Index,1992-01-31,,,,,,,,103.767,,43.699,115.006,,,55.446,52.773,68.052
Index,1992-02-29,,,,,,,,80.236,,22.416,103.26,,,40.271,37.406,54.983
Index,1992-03-31,,,,,,,,83.572,,29.669,118.852,,,50.191,42.289,58.757
Index,1992-04-30,,,,,,,,82.22,,33.492,114.26,,,46.432,41.416,54.081
Index,1992-05-31,,,,,,,,83.391,,33.783,114.473,,,41.403,42.289,55.546
Index,1992-06-30,,,,,,,,83.031,,43.224,110.736,,,43.351,45.824,54.926
Index,1992-07-31,,,,,,,,88.17,,29.221,121.841,,,43.215,41.218,57.067
Index,1992-08-31,,,,,,,,90.243,,30.117,117.783,,,41.765,42.885,59.546
Index,1992-09-30,,,,,,,,83.572,,35.339,117.142,,,46.16,44.276,58.138
Index,1992-10-31,,,,,,,,87.448,,28.456,117.891,,,44.483,41.416,58.025
Index,1992-11-30,,,,,,,,85.826,,28.06,111.59,,,46.115,41.853,59.152
Index,1992-12-31,,,,,,,,95.563,,28.773,116.395,,,52.637,49.159,72.785
Index,1993-01-31,98.463,181.754,5.999,81.615,88.943,,,102.918,143.89,58.553,120.89,27.847,84.359,50.086,56.567,69.7
Index,1993-02-28,83.36,137.95,6.949,73.041,91.137,,,79.997,109.891,32.821,108.804,26.782,54.782,40.768,40.687,54.823
Index,1993-03-31,93.738,133.944,8.809,77.379,92.865,,,86.114,117.54,43.767,120.523,30.396,67.705,50.691,47.409,61.094
Index,1993-04-30,92.894,114.58,7.67,72.214,77.044,,,84.052,109.647,39.319,117.261,27.581,53.818,39.007,41.314,52.645
Index,1993-05-31,89.266,118.32,5.81,75.726,76.978,,,83.595,117.54,41.214,118.035,28.151,59.347,44.617,43.96,56.332
Index,1993-06-30,95.763,104.432,11.088,77.586,80.368,,,83.257,113.533,46.453,115.218,29.255,62.69,40.633,45.603,56.571
Index,1993-07-31,83.782,98.422,9.987,79.136,74.319,,,83.799,118.39,46.778,123.28,31.005,65.776,47.741,46.212,57.474
