Units,Timepoint,1: Sea Freight Transport Price Index,2: Warehousing And Storage Price Index,3: Cargo Handling Price Index,4: Freight Forwarding Price Index,5: Telecommunication Services Price Index,6: Computer Consultancy And Information Services Price Index,7: Accounting Services Price Index
Per Cent,2015-03-31,1.0,,,,-3.1,,
Per Cent,2015-06-30,-5.5,,,,-2.6,,
Per Cent,2015-09-30,-5.8,,,,-3.4,,
Per Cent,2015-12-31,-11.5,,,,-1.6,,
Per Cent,2016-03-31,-16.6,,,,-2.0,,
Per Cent,2016-06-30,-15.3,,,,-1.7,,
Per Cent,2016-09-30,-14.6,,,,-0.7,,
Per Cent,2016-12-31,-1.3,,,,-1.5,,
Per Cent,2017-03-31,8.6,0.7,1.8,,-0.2,2.2,
Per Cent,2017-06-30,16.6,1.0,2.4,,1.0,2.0,
Per Cent,2017-09-30,11.2,0.8,-0.8,,-1.0,1.6,
Per Cent,2017-12-31,3.8,-0.1,1.1,,-1.3,0.8,
Per Cent,2018-03-31,-0.1,-1.3,-0.7,1.4,-3.5,0.6,2.1
Per Cent,2018-06-30,-0.4,-1.4,-3.5,1.4,-4.9,1.3,4.7
Per Cent,2018-09-30,12.7,-0.3,0.2,7.2,-2.8,1.7,3.9
Per Cent,2018-12-31,12.0,0.1,-1.3,8.2,-2.5,1.8,8.6
Per Cent,2019-03-31,9.5,-1.1,-2.1,4.5,1.8,1.6,4.9
Per Cent,2019-06-30,6.2,-0.5,-1.2,4.8,1.6,0.3,2.8
Per Cent,2019-09-30,-0.7,-1.1,-4.3,-0.1,0.3,-0.1,3.7
Per Cent,2019-12-31,7.7,-0.5,-0.2,-4.1,1.7,-0.4,2.6
Per Cent,2020-03-31,14.5,2.8,0.2,-2.2,-1.5,-0.5,0.9
Per Cent,2020-06-30,9.5,3.2,1.7,23.9,3.3,0.6,1.9
Per Cent,2020-09-30,3.9,3.4,3.8,22.6,5.9,0.3,1.5
Per Cent,2020-12-31,-1.0,3.1,1.6,21.9,0.3,0.7,1.3
Per Cent,2021-03-31,5.0,4.6,3.0,22.1,0.9,-0.4,1.0
Per Cent,2021-06-30,25.6,3.6,1.1,-0.6,-3.0,0.3,1.1
Per Cent,2021-09-30,47.2,3.5,1.6,11.1,-5.0,0.9,1.1
Per Cent,2021-12-31,58.3,3.7,-1.0,24.0,-1.8,0.9,-0.6
Per Cent,2022-03-31,44.6,0.4,-1.7,24.9,-0.9,1.9,0.6
Per Cent,2022-06-30,29.6,0.6,1.3,24.2,0.8,2.6,0.2
Per Cent,2022-09-30,11.5,1.1,2.2,15.1,0.7,2.9,-3.0
Per Cent,2022-12-31,-9.4,1.6,2.3,-0.2,3.2,1.8,-2.5
