Units,Timepoint,1.0: Food & Live Animals,1.1: Beverages & Tobacco,1.2: Crude Materials (Excl Fuels),"1.3: Mineral Fuels, Lubricants & Related Materials",1.4: Animal & Vegetable Oils Fats & Waxes,1.5: Chemicals & Chemical Products,1.6: Manufactured Goods,1.7: Machinery & Transport Equipment,1.8: Miscellaneous Manufactured Articles,1: Singapore Manufactured Products Price Index - Overall Items,2: Non-Oil Singapore Manufactured Products Price Index
Index,1974-01-31,62.289,22.84,30.894,30.47,84.105,62.705,80.597,409.706,89.21,131.419,196.862
Index,1974-02-28,62.584,23.856,29.02,31.974,88.352,64.086,82.857,414.215,92.224,133.006,197.426
Index,1974-03-31,63.612,23.856,28.054,31.567,93.763,63.902,83.986,413.95,91.864,132.477,196.862
Index,1974-04-30,63.539,23.856,24.891,33.042,89.791,67.677,84.807,423.238,91.741,132.609,194.801
Index,1974-05-31,63.245,23.856,24.598,33.197,91.913,67.953,86.04,422.44,90.777,132.741,194.613
Index,1974-06-30,61.627,23.856,22.87,33.733,96.502,67.861,84.807,423.768,90.537,131.419,191.426
Index,1974-07-31,61.186,24.218,21.084,33.889,97.598,67.769,85.116,422.175,90.054,129.962,188.613
Index,1974-08-31,61.113,25.812,20.879,33.983,103.419,67.493,84.088,437.303,89.692,130.755,189.927
Index,1974-09-30,62.436,25.812,19.005,33.418,96.708,66.848,84.5,425.89,88.849,128.374,186.364
Index,1974-10-31,62.951,25.812,18.419,33.638,92.597,64.914,83.473,426.686,90.054,127.845,185.051
Index,1974-11-30,64.936,26.682,16.574,32.884,83.83,64.362,80.7,421.646,90.656,125.198,181.3
Index,1974-12-31,67.436,26.826,18.068,33.292,90.407,63.441,79.673,419.256,90.537,126.521,183.175
Index,1975-01-31,67.805,27.044,17.833,33.042,85.749,61.139,78.851,413.685,93.55,125.86,182.052
Index,1975-02-28,66.628,27.044,18.214,32.225,80.201,60.587,78.441,408.908,93.068,124.536,181.3
Index,1975-03-31,64.789,27.263,18.097,32.319,71.571,60.587,78.134,407.316,92.586,123.875,179.803
Index,1975-04-30,64.128,27.263,17.893,32.383,69.311,60.587,77.005,405.193,91.984,123.213,178.302
Index,1975-05-31,64.128,28.712,18.009,32.288,66.16,60.403,77.825,387.946,91.502,122.552,176.99
Index,1975-06-30,63.319,28.712,19.21,32.728,64.654,60.771,78.236,379.455,91.864,123.213,177.927
Index,1975-07-31,64.349,28.712,21.026,34.894,64.175,62.797,77.415,360.083,92.948,125.727,178.675
