Units,Timepoint,1.1.1.1: Exports Of Goods,1.1.1.2: Imports Of Goods,1.1.1: Goods Balance,1.1.2.1.10: Charges For The Use Of Intellectual Property,"1.1.2.1.11: Personal, Cultural And Recreational",1.1.2.1.12.10: Others,1.1.2.1.12.1: Accounting,1.1.2.1.12.2: Advertising And Market Research,1.1.2.1.12.3: Architectural,1.1.2.1.12.4: Business Management,1.1.2.1.12.5: Engineering And Technical,1.1.2.1.12.6: Legal,1.1.2.1.12.7: Research And Development,1.1.2.1.12.8: Operating Leasing,1.1.2.1.12.9: Trade-Related,1.1.2.1.12: Other Business Services,1.1.2.1.1: Manufacturing Services On Physical Inputs Owned By Others,1.1.2.1.2: Maintenance And Repair Services,1.1.2.1.3.1: Freight,1.1.2.1.3.2: Others,1.1.2.1.3: Transport,1.1.2.1.4: Travel,1.1.2.1.5: Insurance,1.1.2.1.6: Government Goods And Services,1.1.2.1.7: Construction,1.1.2.1.8: Financial,"1.1.2.1.9: Telecommunications, Computer & Information",1.1.2.1: Exports Of Services,1.1.2.2.10: Charges For The Use Of Intellectual Property,"1.1.2.2.11: Personal, Cultural And Recreational",1.1.2.2.12.10: Others,1.1.2.2.12.1: Accounting,1.1.2.2.12.2: Advertising And Market Research,1.1.2.2.12.3: Architectural,1.1.2.2.12.4: Business Management,1.1.2.2.12.5: Engineering And Technical,1.1.2.2.12.6: Legal,1.1.2.2.12.7: Research And Development,1.1.2.2.12.8: Operating Leasing,1.1.2.2.12.9: Trade-Related,1.1.2.2.12: Other Business Services,1.1.2.2.1: Manufacturing Services On Physical Inputs Owned By Others,1.1.2.2.2: Maintenance And Repair Services,1.1.2.2.3.1: Freight,1.1.2.2.3.2: Others,1.1.2.2.3: Transport,1.1.2.2.4: Travel,1.1.2.2.5: Insurance,1.1.2.2.6: Government Goods And Services,1.1.2.2.7: Construction,1.1.2.2.8: Financial,"1.1.2.2.9: Telecommunications, Computer & Information",1.1.2.2: Imports Of Services,1.1.2: Services Balance,1.1.3.1: Primary Income Receipts,1.1.3.2: Primary Income Payments,1.1.3: Primary Income Balance,1.1.4.3: Secondary Income Receipts,1.1.4.4: Secondary Income Payments,1.1.4: Secondary Income Balance,1.1: A Current Account Balance,1.2.2.1.1: Assets,1.2.2.1.2: Liabilities,1.2.2.1: Direct Investment,"1.2.2.2.1.1: Deposit-Taking Corporations, Except The Central Bank",1.2.2.2.1.2: Official,1.2.2.2.1.3: Others,1.2.2.2.1: Assets,"1.2.2.2.2.1: Deposit-Taking Corporations, Except The Central Bank",1.2.2.2.2.2: Others,1.2.2.2.2: Liabilities,1.2.2.2: Portfolio Investment,1.2.2.3.1: Assets,1.2.2.3.2: Liabilities,1.2.2.3: Financial Derivatives,"1.2.2.4.1.1: Deposit-Taking Corporations, Except The Central Bank",1.2.2.4.1.2: Official,1.2.2.4.1.3: Others,1.2.2.4.1: Assets,"1.2.2.4.2.1: Deposit-Taking Corporations, Except The Central Bank",1.2.2.4.2.2: Others,1.2.2.4.2: Liabilities,1.2.2.4: Other Investment,1.2.2: Financial Account (Net),1.2: B Capital & Financial Account Balance,1.3: C Net Errors & Omissions,1: D Overall Balance (A-B+C),2.1: Special Drawing Rights,2.2: Reserves Position In The IMF,2.3: Foreign Exchange Assets,2: E Reserve Assets
Million Dollars,1986-03-31,11497.6,12541.9,-1044.3,,,,,,,,,,,,,892.0,,,,,508.2,932.9,44.1,51.1,,,,2428.3,,,,,,,,,,,,,602.7,,,,,870.8,293.0,107.7,27.9,,,,1902.1,526.2,1054.0,995.2,58.8,,,-86.1,-545.4,,,-608.0,,,,,,,,370.8,,,,17821.5,0.0,338.6,18160.1,19239.0,321.9,19560.9,-1400.8,-1638.0,-1638.0,-1058.7,33.9,5.1,5.9,22.9,33.9
Million Dollars,1986-06-30,12398.5,12406.1,-7.6,,,,,,,,,,,,,1364.0,,,,,534.6,933.6,44.1,49.4,,,,2925.7,,,,,,,,,,,,,620.1,,,,,921.6,370.2,113.2,20.6,,,,2045.7,880.0,1042.3,1032.4,9.9,,,-89.6,792.7,,,-1036.8,,,,,,,,188.7,,,,18499.9,0.0,313.6,18813.5,16024.5,136.0,16160.5,2653.0,1804.9,1804.9,1520.2,508.0,13.5,15.3,479.2,508.0
Million Dollars,1986-09-30,12404.7,12847.6,-442.9,,,,,,,,,,,,,1314.9,,,,,539.6,1015.1,44.2,49.3,,,,2963.1,,,,,,,,,,,,,664.3,,,,,953.9,337.0,115.3,20.0,,,,2090.5,872.6,1019.5,1007.1,12.4,,,-91.0,351.1,,,-802.3,,,,,,,,195.6,,,,30899.2,0.0,519.3,31418.5,31099.5,274.5,31374.0,44.5,-562.2,-562.2,-706.7,206.6,5.4,0.4,200.8,206.6
Million Dollars,1986-12-31,13132.4,13686.6,-554.2,,,,,,,,,,,,,1365.0,,,,,553.6,1057.4,44.4,49.4,,,,3069.8,,,,,,,,,,,,,666.0,,,,,1007.5,404.1,124.2,20.1,,,,2221.9,847.9,977.8,1045.6,-67.8,,,-91.4,134.5,,,-1258.9,,,,,,,,440.1,,,,33137.3,0.0,31.3,33168.6,29304.4,780.4,30084.8,3083.8,2265.0,2265.0,2590.6,460.1,7.4,3.2,449.5,460.1
Million Dollars,1987-03-31,12591.4,13632.5,-1041.1,,,,,,,,,,,,,1195.5,,,,,537.2,1072.0,52.9,47.5,,,,2905.1,,,,,,,,,,,,,767.7,,,,,880.2,352.4,178.5,27.4,,,,2206.2,698.9,1323.0,1547.5,-224.5,,,-92.5,-659.2,,,-1070.2,,,,,,,,-332.4,,,,16423.8,0.0,1042.7,17466.5,15812.6,-227.8,15584.8,1881.7,479.1,479.1,1340.0,201.7,9.7,5.2,186.8,201.7
Million Dollars,1987-06-30,14832.4,15147.4,-315.0,,,,,,,,,,,,,1613.1,,,,,616.5,1096.0,53.0,47.5,,,,3426.1,,,,,,,,,,,,,773.4,,,,,993.8,453.9,206.6,20.0,,,,2447.7,978.4,1228.0,1537.3,-309.3,,,-92.6,261.5,,,-1388.9,,,,,,,,-82.7,,,,12828.0,0.0,210.0,13038.0,12515.5,-595.6,11919.9,1118.1,-353.5,-353.5,-85.2,529.8,6.4,3.7,519.7,529.8
Million Dollars,1987-09-30,16324.9,16728.6,-403.7,,,,,,,,,,,,,1424.2,,,,,666.8,1212.5,53.1,47.4,,,,3404.0,,,,,,,,,,,,,781.6,,,,,1065.4,393.3,223.3,22.2,,,,2485.8,918.2,1232.6,1541.6,-309.0,,,-95.5,110.0,,,-1642.6,,,,,,,,-21.7,,,,22320.3,0.0,-63.9,22256.4,20452.8,-694.6,19758.2,2498.2,833.9,833.9,1395.7,671.8,-2.6,-7.6,682.0,671.8
Million Dollars,1987-12-31,17454.9,18105.0,-650.1,,,,,,,,,,,,,1749.7,,,,,696.8,1216.8,53.1,47.5,,,,3763.9,,,,,,,,,,,,,754.1,,,,,1107.3,474.4,237.8,23.9,,,,2597.5,1166.4,1230.3,1580.0,-349.7,,,-95.9,70.7,,,-1437.1,,,,,,,,-94.0,,,,12544.7,0.0,308.9,12853.6,10061.0,-254.1,9806.9,3046.7,1515.6,1515.6,2370.1,925.2,15.6,10.4,899.2,925.2
Million Dollars,1988-03-31,17658.8,17776.4,-117.6,,,,,,,,,,,,,1701.9,,,,,702.1,1273.1,49.4,48.2,,,,3774.7,,,,,,,,,,,,,908.5,,,,,1116.8,414.5,245.4,43.5,,,,2728.7,1046.0,1594.2,1791.1,-196.9,,,-102.6,628.9,,,-1029.9,,,,,,,,155.9,,,,12960.6,0.0,-589.8,12370.8,14357.4,-1713.0,12644.4,-273.6,-1147.6,-1147.6,-718.9,1057.6,5.2,0.0,1052.4,1057.6
Million Dollars,1988-06-30,20093.2,20220.2,-127.0,,,,,,,,,,,,,2095.5,,,,,778.5,1278.1,49.6,48.3,,,,4250.0,,,,,,,,,,,,,886.5,,,,,1226.5,505.2,269.1,21.0,,,,2908.3,1341.7,1592.0,1782.8,-190.8,,,-114.6,909.3,,,-3144.2,,,,,,,,123.3,,,,5734.0,0.0,-262.5,5471.5,2158.2,-579.6,1578.6,3892.9,872.0,872.0,448.7,486.0,-0.5,-4.9,491.4,486.0
