Units,Timepoint,1.1: Percent Change Over Previous Month,1.2: Percent Change Over Corresponding Period Of Previous Year,1: MAS Core Inflation Measure,2.1: Percent Change Over Previous Month,2.2: Percent Change Over Corresponding Period Of Previous Year,2: Services Inflation Measure,3.1: Percent Change Over Previous Month,3.2: Percent Change Over Corresponding Period Of Previous Year,3: Retail & Other Goods Inflation Measure,4.1: Percent Change Over Previous Month,4.2: Percent Change Over Corresponding Period Of Previous Year,4: Electricity & Gas Inflation Measure
Index,1990-01-31,,,61.59,,,,,,,,,
Index,1990-02-28,,,61.699,,,,,,,,,
Index,1990-03-31,,,61.478,,,,,,,,,
Index,1990-04-30,,,61.864,,,,,,,,,
Index,1990-05-31,,,61.992,,,,,,,,,
Index,1990-06-30,,,61.988,,,,,,,,,
Index,1990-07-31,,,61.924,,,,,,,,,
Index,1990-08-31,,,61.915,,,,,,,,,
Index,1990-09-30,,,61.841,,,,,,,,,
Index,1990-10-31,,,62.408,,,,,,,,,
Index,1990-11-30,,,62.98,,,,,,,,,
Index,1990-12-31,,,63.447,,,,,,,,,
Index,1991-01-31,,,63.559,,,,,,,,,
Index,1991-02-28,,,64.02,,,,,,,,,
Index,1991-03-31,,,63.912,,,,,,,,,
Index,1991-04-30,,,64.233,,,,,,,,,
Index,1991-05-31,,,64.324,,,,,,,,,
Index,1991-06-30,,,64.351,,,,,,,,,
Index,1991-07-31,,,64.458,,,,,,,,,
Index,1991-08-31,,,64.406,,,,,,,,,
Index,1991-09-30,,,64.532,,,,,,,,,
Index,1991-10-31,,,64.633,,,,,,,,,
Index,1991-11-30,,,64.674,,,,,,,,,
Index,1991-12-31,,,65.2,,,,,,,,,
Index,1992-01-31,,,65.061,,,,,,,,,
Index,1992-02-29,,,65.089,,,,,,,,,
Index,1992-03-31,,,64.965,,,,,,,,,
Index,1992-04-30,,,65.206,,,,,,,,,
Index,1992-05-31,,,65.44,,,,,,,,,
Index,1992-06-30,,,65.43,,,,,,,,,
Index,1992-07-31,,,65.579,,,,,,,,,
Index,1992-08-31,,,65.402,,,,,,,,,
Index,1992-09-30,,,65.459,,,,,,,,,
Index,1992-10-31,,,65.56,,,,,,,,,
Index,1992-11-30,,,65.709,,,,,,,,,
Index,1992-12-31,,,65.874,,,,,,,,,
Index,1993-01-31,,,66.46,,,,,,,,,
Index,1993-02-28,,,66.083,,,,,,,,,
Index,1993-03-31,,,66.211,,,,,,,,,
Index,1993-04-30,,,66.322,,,,,,,,,
Index,1993-05-31,,,66.507,,,,,,,,,
Index,1993-06-30,,,66.487,,,,,,,,,
Index,1993-07-31,,,66.786,,,,,,,,,
Index,1993-08-31,,,66.651,,,,,,,,,
Index,1993-09-30,,,66.59,,,,,,,,,
Index,1993-10-31,,,66.738,,,,,,,,,
Index,1993-11-30,,,66.892,,,,,,,,,
Index,1993-12-31,,,67.013,,,,,,,,,
Index,1994-01-31,,,67.244,,,,,,,,,
Index,1994-02-28,,,67.704,,,,,,,,,
Index,1994-03-31,,,67.474,,,,,,,,,
Index,1994-04-30,,,67.849,,,,,,,,,
Index,1994-05-31,,,68.146,,,,,,,,,
Index,1994-06-30,,,68.442,,,,,,,,,
Index,1994-07-31,,,68.562,,,,,,,,,
Index,1994-08-31,,,68.601,,,,,,,,,
Index,1994-09-30,,,68.57,,,,,,,,,
Index,1994-10-31,,,68.72,,,,,,,,,
Index,1994-11-30,,,68.829,,,,,,,,,
Index,1994-12-31,,,68.816,,,,,,,,,
Index,1995-01-31,,,69.28,,,,,,,,,
Index,1995-02-28,,,69.524,,,,,,,,,
Index,1995-03-31,,,69.364,,,,,,,,,
Index,1995-04-30,,,69.627,,,,,,,,,
Index,1995-05-31,,,69.736,,,,,,,,,
Index,1995-06-30,,,69.757,,,,,,,,,
Index,1995-07-31,,,69.787,,,,,,,,,
Index,1995-08-31,,,69.9,,,,,,,,,
Index,1995-09-30,,,69.898,,,,,,,,,
Index,1995-10-31,,,69.893,,,,,,,,,
Index,1995-11-30,,,70.118,,,,,,,,,
Index,1995-12-31,,,70.039,,,,,,,,,
Index,1996-01-31,,,70.228,,,,,,,,,
Index,1996-02-29,,,70.913,,,,,,,,,
Index,1996-03-31,,,70.512,,,,,,,,,
Index,1996-04-30,,,70.72,,,,,,,,,
Index,1996-05-31,,,70.943,,,,,,,,,
Index,1996-06-30,,,71.034,,,,,,,,,
Index,1996-07-31,,,71.076,,,,,,,,,
Index,1996-08-31,,,71.212,,,,,,,,,
Index,1996-09-30,,,71.221,,,,,,,,,
Index,1996-10-31,,,71.214,,,,,,,,,
Index,1996-11-30,,,71.384,,,,,,,,,
Index,1996-12-31,,,71.511,,,,,,,,,
Index,1997-01-31,,,71.521,,,,,,,,,
Index,1997-02-28,,,72.092,,,,,,,,,
Index,1997-03-31,,,71.674,,,,,,,,,
Index,1997-04-30,,,71.794,,,,,,,,,
Index,1997-05-31,,,71.815,,,,,,,,,
Index,1997-06-30,,,71.812,,,,,,,,,
Index,1997-07-31,,,72.019,,,,,,,,,
Index,1997-08-31,,,72.352,,,,,,,,,
Index,1997-09-30,,,72.547,,,,,,,,,
Index,1997-10-31,,,72.407,,,,,,,,,
Index,1997-11-30,,,72.528,,,,,,,,,
Index,1997-12-31,,,72.533,,,,,,,,,
Index,1998-01-31,,,72.914,,,,,,,,,
Index,1998-02-28,,,72.816,,,,,,,,,
Index,1998-03-31,,,72.413,,,,,,,,,
Index,1998-04-30,,,72.457,,,,,,,,,
Index,1998-05-31,,,72.209,,,,,,,,,
Index,1998-06-30,,,72.102,,,,,,,,,
Index,1998-07-31,,,72.196,,,,,,,,,
Index,1998-08-31,,,72.236,,,,,,,,,
Index,1998-09-30,,,72.251,,,,,,,,,
Index,1998-10-31,,,72.192,,,,,,,,,
Index,1998-11-30,,,72.44,,,,,,,,,
Index,1998-12-31,,,72.291,,,,,,,,,
Index,1999-01-31,,,72.604,,,,,,,,,
Index,1999-02-28,,,72.729,,,,,,,,,
Index,1999-03-31,,,72.429,,,,,,,,,
Index,1999-04-30,,,72.717,,,,,,,,,
Index,1999-05-31,,,72.802,,,,,,,,,
Index,1999-06-30,,,72.634,,,,,,,,,
Index,1999-07-31,,,72.926,,,,,,,,,
Index,1999-08-31,,,72.859,,,,,,,,,
Index,1999-09-30,,,72.765,,,,,,,,,
Index,1999-10-31,,,72.691,,,,,,,,,
Index,1999-11-30,,,72.808,,,,,,,,,
Index,1999-12-31,,,72.872,,,,,,,,,
Index,2000-01-31,,,73.291,,,,,,,,,
Index,2000-02-29,,,73.645,,,,,,,,,
Index,2000-03-31,,,73.356,,,,,,,,,
Index,2000-04-30,,,73.388,,,,,,,,,
Index,2000-05-31,,,73.28,,,,,,,,,
Index,2000-06-30,,,73.362,,,,,,,,,
Index,2000-07-31,,,73.76,,,,,,,,,
Index,2000-08-31,,,74.22,,,,,,,,,
Index,2000-09-30,,,74.147,,,,,,,,,
Index,2000-10-31,,,74.186,,,,,,,,,
Index,2000-11-30,,,74.53,,,,,,,,,
Index,2000-12-31,,,74.647,,,,,,,,,
Index,2001-01-31,,,75.12,,,,,,,,,
Index,2001-02-28,,,74.981,,,,,,,,,
Index,2001-03-31,,,75.034,,,,,,,,,
Index,2001-04-30,,,75.293,,,,,,,,,
Index,2001-05-31,,,74.958,,,,,,,,,
Index,2001-06-30,,,74.752,,,,,,,,,
Index,2001-07-31,,,75.135,,,,,,,,,
Index,2001-08-31,,,75.064,,,,,,,,,
Index,2001-09-30,,,74.937,,,,,,,,,
Index,2001-10-31,,,74.82,,,,,,,,,
Index,2001-11-30,,,74.791,,,,,,,,,
Index,2001-12-31,,,74.698,,,,,,,,,
Index,2002-01-31,,,74.552,,,,,,,,,
Index,2002-02-28,,,74.798,,,,,,,,,
Index,2002-03-31,,,74.665,,,,,,,,,
Index,2002-04-30,,,74.72,,,,,,,,,
Index,2002-05-31,,,74.935,,,,,,,,,
Index,2002-06-30,,,74.938,,,,,,,,,
Index,2002-07-31,,,75.036,,,,,,,,,
Index,2002-08-31,,,74.973,,,,,,,,,
Index,2002-09-30,,,75.009,,,,,,,,,
Index,2002-10-31,,,74.983,,,,,,,,,
Index,2002-11-30,,,75.219,,,,,,,,,
Index,2002-12-31,,,75.292,,,,,,,,,
Index,2003-01-31,,,75.552,,,,,,,,,
Index,2003-02-28,,,75.321,,,,,,,,,
Index,2003-03-31,,,75.472,,,,,,,,,
Index,2003-04-30,,,75.833,,,,,,,,,
Index,2003-05-31,,,75.31,,,,,,,,,
Index,2003-06-30,,,75.001,,,,,,,,,
Index,2003-07-31,,,75.6,,,,,,,,,
Index,2003-08-31,,,75.719,,,,,,,,,
Index,2003-09-30,,,75.872,,,,,,,,,
Index,2003-10-31,,,75.829,,,,,,,,,
Index,2003-11-30,,,75.954,,,,,,,,,
Index,2003-12-31,,,76.111,,,,,,,,,
Index,2004-01-31,,,76.805,,,,,,,,,
Index,2004-02-29,,,76.882,,,,,,,,,
Index,2004-03-31,,,76.976,,,,,,,,,
Index,2004-04-30,,,77.063,,,,,,,,,
Index,2004-05-31,,,77.125,,,,,,,,,
Index,2004-06-30,,,76.987,,,,,,,,,
Index,2004-07-31,,,77.118,,,,,,,,,
Index,2004-08-31,,,77.054,,,,,,,,,
Index,2004-09-30,,,77.38,,,,,,,,,
Index,2004-10-31,,,77.367,,,,,,,,,
Index,2004-11-30,,,77.47,,,,,,,,,
Index,2004-12-31,,,77.398,,,,,,,,,
Index,2005-01-31,,,77.591,,,,,,,,,
Index,2005-02-28,,,77.656,,,,,,,,,
Index,2005-03-31,,,77.796,,,,,,,,,
Index,2005-04-30,,,77.804,,,,,,,,,
Index,2005-05-31,,,77.753,,,,,,,,,
Index,2005-06-30,,,77.569,,,,,,,,,
Index,2005-07-31,,,77.996,,,,,,,,,
Index,2005-08-31,,,78.242,,,,,,,,,
Index,2005-09-30,,,78.289,,,,,,,,,
Index,2005-10-31,,,78.719,,,,,,,,,
Index,2005-11-30,,,78.887,,,,,,,,,
Index,2005-12-31,,,78.95,,,,,,,,,
