Units,Timepoint,1: Personal Disposable Income,2: Personal Saving,3: Personal Saving Rate
Million Dollars,1980-03-31,3635.0,639.6,
Million Dollars,1980-06-30,3432.6,180.0,
Million Dollars,1980-09-30,3659.8,358.0,
Million Dollars,1980-12-31,4269.0,755.0,
Million Dollars,1981-03-31,4229.6,795.6,
Million Dollars,1981-06-30,3953.7,395.6,
Million Dollars,1981-09-30,4267.9,549.2,
Million Dollars,1981-12-31,5055.0,1220.1,
Million Dollars,1982-03-31,4858.6,1123.3,
Million Dollars,1982-06-30,4642.9,824.1,
Million Dollars,1982-09-30,4939.5,1045.7,
Million Dollars,1982-12-31,5941.9,1845.3,
Million Dollars,1983-03-31,5772.1,1833.6,
Million Dollars,1983-06-30,5318.4,1130.6,
Million Dollars,1983-09-30,5677.5,1457.2,
Million Dollars,1983-12-31,6349.8,2058.3,
Million Dollars,1984-03-31,6256.2,1792.2,
Million Dollars,1984-06-30,5868.2,1426.6,
Million Dollars,1984-09-30,6342.0,1877.9,
Million Dollars,1984-12-31,7071.2,2272.8,
Million Dollars,1985-03-31,6377.6,1786.7,
Million Dollars,1985-06-30,5919.3,1390.6,
Million Dollars,1985-09-30,6160.3,1665.8,
Million Dollars,1985-12-31,6891.7,2218.8,
Million Dollars,1986-03-31,6283.8,1802.8,
Million Dollars,1986-06-30,5474.6,800.3,
Million Dollars,1986-09-30,5693.9,818.1,
Million Dollars,1986-12-31,6629.8,1612.7,
Million Dollars,1987-03-31,6072.3,1229.8,
Million Dollars,1987-06-30,5885.3,613.9,
Million Dollars,1987-09-30,5894.9,337.4,
Million Dollars,1987-12-31,6993.7,1197.6,
Million Dollars,1988-03-31,6667.4,980.3,
Million Dollars,1988-06-30,6273.0,282.2,
Million Dollars,1988-09-30,6589.3,340.3,
Million Dollars,1988-12-31,8450.1,1551.2,
Million Dollars,1989-03-31,7574.8,948.0,
Million Dollars,1989-06-30,7428.4,571.9,
Million Dollars,1989-09-30,8042.9,1001.5,
Million Dollars,1989-12-31,9858.0,2287.0,
Million Dollars,1990-03-31,9046.7,1340.5,
Million Dollars,1990-06-30,8812.5,1133.9,
Million Dollars,1990-09-30,9521.4,1801.6,
Million Dollars,1990-12-31,11216.4,2895.6,
Million Dollars,1991-03-31,10497.8,2179.8,
Million Dollars,1991-06-30,10067.8,1852.3,
Million Dollars,1991-09-30,10521.4,2040.7,
Million Dollars,1991-12-31,12412.4,3463.3,
Million Dollars,1992-03-31,11200.1,2228.7,
Million Dollars,1992-06-30,10509.8,1553.0,
Million Dollars,1992-09-30,10961.8,1770.5,
Million Dollars,1992-12-31,13000.9,3325.3,
Million Dollars,1993-03-31,11924.9,1536.7,
Million Dollars,1993-06-30,11530.1,1209.7,
Million Dollars,1993-09-30,12096.3,1462.0,
Million Dollars,1993-12-31,14562.0,3188.1,
Million Dollars,1994-03-31,13616.5,1427.0,
Million Dollars,1994-06-30,13040.5,1528.7,
Million Dollars,1994-09-30,13830.3,1805.8,
Million Dollars,1994-12-31,16578.6,3941.1,
Million Dollars,1995-03-31,15357.2,2870.9,
Million Dollars,1995-06-30,14764.2,2329.1,
Million Dollars,1995-09-30,15582.8,2950.4,
Million Dollars,1995-12-31,18378.1,5065.3,
Million Dollars,1996-03-31,17045.6,3548.1,
Million Dollars,1996-06-30,16258.3,2861.1,
Million Dollars,1996-09-30,16880.7,3215.0,
Million Dollars,1996-12-31,19716.3,5393.3,
Million Dollars,1997-03-31,18391.4,3873.8,
