Units,Timepoint,1: Overall Economy
Index,2001-03-31,5.7
Index,2001-06-30,6.0
Index,2001-09-30,4.8
Index,2001-12-31,-5.2
Index,2002-03-31,0.5
Index,2002-06-30,0.4
Index,2002-09-30,-0.5
Index,2002-12-31,2.5
Index,2003-03-31,2.4
Index,2003-06-30,1.5
Index,2003-09-30,1.3
Index,2003-12-31,1.6
Index,2004-03-31,4.4
Index,2004-06-30,4.1
Index,2004-09-30,1.4
Index,2004-12-31,4.4
Index,2005-03-31,4.8
Index,2005-06-30,2.5
Index,2005-09-30,4.5
Index,2005-12-31,2.2
Index,2006-03-31,3.0
Index,2006-06-30,3.8
Index,2006-09-30,2.8
Index,2006-12-31,3.1
Index,2007-03-31,5.5
Index,2007-06-30,8.5
Index,2007-09-30,6.9
Index,2007-12-31,4.3
Index,2008-03-31,10.6
Index,2008-06-30,3.1
Index,2008-09-30,5.5
Index,2008-12-31,2.4
Index,2009-03-31,-3.7
Index,2009-06-30,-2.2
Index,2009-09-30,-3.0
Index,2009-12-31,-1.6
Index,2010-03-31,3.7
Index,2010-06-30,5.8
Index,2010-09-30,5.4
Index,2010-12-31,7.5
Index,2011-03-31,8.5
Index,2011-06-30,6.0
Index,2011-09-30,5.4
Index,2011-12-31,4.0
Index,2012-03-31,0.9
Index,2012-06-30,2.8
Index,2012-09-30,3.1
Index,2012-12-31,2.5
Index,2013-03-31,4.9
Index,2013-06-30,4.0
Index,2013-09-30,3.3
Index,2013-12-31,4.7
Index,2014-03-31,3.2
Index,2014-06-30,2.7
Index,2014-09-30,2.4
Index,2014-12-31,0.8
Index,2015-03-31,3.0
Index,2015-06-30,3.7
Index,2015-09-30,4.1
Index,2015-12-31,3.3
Index,2016-03-31,4.3
Index,2016-06-30,3.9
Index,2016-09-30,3.4
Index,2016-12-31,3.3
Index,2017-03-31,1.9
Index,2017-06-30,3.1
Index,2017-09-30,3.2
Index,2017-12-31,4.0
Index,2018-03-31,4.0
Index,2018-06-30,3.6
Index,2018-09-30,3.5
Index,2018-12-31,2.8
Index,2019-03-31,3.4
Index,2019-06-30,2.1
Index,2019-09-30,4.5
Index,2019-12-31,0.5
Index,2020-03-31,2.4
Index,2020-06-30,1.0
Index,2020-09-30,0.6
Index,2020-12-31,1.6
Index,2021-03-31,0.2
Index,2021-06-30,3.8
Index,2021-09-30,3.8
Index,2021-12-31,6.9
Index,2022-03-31,7.8
Index,2022-06-30,6.8
Index,2022-09-30,7.1
Index,2022-12-31,5.4
Index,2023-03-31,5.7
