Units,Timepoint,1.1.1: Debt Liabilities Of DIE To Direct Investors,1.1.2: Debt Liabilities Of Direct Investors To DIE,1.1.3: Debt Liabilities Between Fellow Enterprises,1.1: Direct Investment:Intercompany Loans,1.2.1: General Government,1.2.2.1.1: Loans,1.2.2.1.2: Debt Securities,1.2.2.1.4: Others,1.2.2.1: Short-Term,1.2.2.2.1: Special Drawing Rights (Allocations),1.2.2.2.2: Loans,1.2.2.2.3: Debt Securities,1.2.2.2.4: Others,1.2.2.2: Long-Term,1.2.2: Central Bank,1.2.3.1.1: Loans,1.2.3.1.2: Debt Securities,1.2.3.1.3: Currency And Deposits,1.2.3.1.4: Others,1.2.3.1: Short-Term,1.2.3.2.1: Loans,1.2.3.2.2: Debt Securities,1.2.3.2.3: Others,1.2.3.2: Long-Term,1.2.3: Deposit-Taking Corporations,1.2.4.1.1: Trade Credits And Advances,1.2.4.1.2: Loans,1.2.4.1.3: Debt Securities,1.2.4.1.4: Others,1.2.4.1: Short-Term,1.2.4.2.1: Loans,1.2.4.2.2: Debt Securities,1.2.4.2.3: Others,1.2.4.2: Long-Term,1.2.4: Other Sector,1.2: Other Liabilities,1: Gross External Debt
Million Dollars,2003-06-30,18600.7,4682.0,20591.3,43874.0,0.0,0.0,0.0,0.0,0.0,40.5,0.0,0.0,0.0,40.5,40.5,0.0,1773.4,660214.1,10968.0,672955.5,0.0,681.0,28935.7,29616.7,702572.2,61198.3,15843.9,912.4,817.5,78772.1,10617.9,15304.4,3002.9,28925.2,107697.3,810310.0,854184.0
Million Dollars,2003-09-30,19081.2,4694.0,22070.3,45845.5,0.0,0.0,0.0,0.0,0.0,40.7,0.0,0.0,0.0,40.7,40.7,0.0,2631.6,653579.0,9840.2,666050.8,0.0,666.6,31198.3,31864.9,697915.7,66085.8,16181.9,819.3,834.8,83921.8,10077.5,15417.7,3046.4,28541.6,112463.4,810419.8,856265.3
Million Dollars,2003-12-31,17782.1,5289.2,23839.7,46911.0,0.0,0.0,0.0,0.0,0.0,41.5,0.0,0.0,0.0,41.5,41.5,0.0,2308.6,657716.1,9264.2,669288.9,0.0,670.4,28847.0,29517.4,698806.3,70423.8,14757.1,748.1,409.2,86338.2,8751.1,14481.9,3027.0,26260.0,112598.2,811446.0,858357.0
Million Dollars,2004-03-31,19255.4,5409.5,25092.1,49757.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,41.0,41.0,0.0,2830.7,706242.0,8275.1,717347.8,0.0,687.2,33026.7,33713.9,751061.7,74503.5,12479.8,692.2,344.2,88019.7,7469.4,14213.7,3051.2,24734.3,112754.0,863856.7,913613.7
Million Dollars,2004-06-30,19152.5,5408.0,26505.2,51065.7,0.0,0.0,0.0,0.0,0.0,40.8,0.0,0.0,0.0,40.8,40.8,0.0,3061.1,717751.5,7760.0,728572.6,0.0,723.4,23503.8,24227.2,752799.8,78616.2,12884.8,630.5,273.6,92405.1,7694.0,13920.3,3203.4,24817.7,117222.8,870063.4,921129.1
Million Dollars,2004-09-30,18857.0,5412.2,27760.0,52029.2,0.0,0.0,0.0,0.0,0.0,40.8,0.0,0.0,0.0,40.8,40.8,0.0,3774.1,716477.3,7272.8,727524.2,0.0,963.5,24224.7,25188.2,752712.4,82085.9,11637.6,590.6,250.3,94564.4,7326.2,14135.6,3257.5,24719.3,119283.7,872036.9,924066.1
Million Dollars,2004-12-31,16825.0,5783.5,28604.6,51213.1,0.0,0.0,0.0,0.0,0.0,41.4,0.0,0.0,0.0,41.4,41.4,0.0,3721.7,726983.7,7047.9,737753.3,0.0,1005.2,29432.2,30437.4,768190.7,84236.8,12222.0,601.6,315.2,97375.6,7615.1,14803.2,3524.6,25942.9,123318.5,891550.6,942763.7
Million Dollars,2005-03-31,44142.6,6086.7,31169.4,81398.7,0.0,0.0,0.0,0.0,0.0,41.1,0.0,0.0,0.0,41.1,41.1,0.0,6588.8,707843.7,6477.0,720909.5,0.0,1011.5,28415.1,29426.6,750336.1,84950.2,13595.7,603.1,327.0,99476.0,7769.1,15287.0,3754.2,26810.3,126286.3,876663.5,958062.2
Million Dollars,2005-06-30,41392.0,6090.8,32925.8,80408.6,0.0,0.0,0.0,0.0,0.0,40.4,0.0,0.0,0.0,40.4,40.4,0.0,5202.9,725234.6,6369.1,736806.6,0.0,1296.0,30367.9,31663.9,768470.5,84107.7,16037.1,599.4,361.5,101105.7,9230.2,15121.5,3739.5,28091.2,129196.9,897707.8,978116.4
Million Dollars,2005-09-30,28290.2,6104.2,32806.7,67201.1,0.0,0.0,0.0,0.0,0.0,40.4,0.0,0.0,0.0,40.4,40.4,0.0,4735.4,756121.9,5818.0,766675.3,0.0,1451.6,31774.2,33225.8,799901.1,82859.4,18042.6,599.2,404.0,101905.2,10741.0,14603.4,3660.7,29005.1,130910.3,930851.8,998052.9
Million Dollars,2005-12-31,21275.0,7061.6,29745.0,58081.6,0.0,0.0,0.0,0.0,0.0,39.4,0.0,0.0,0.0,39.4,39.4,0.0,4084.5,788129.1,5957.0,798170.6,0.0,1105.6,29343.8,30449.4,828620.0,82355.6,21024.9,610.7,442.9,104434.1,12294.2,14400.7,3812.9,30507.8,134941.9,963601.3,1021682.9
Million Dollars,2006-03-31,25391.1,7143.3,30248.6,62783.0,0.0,0.0,0.0,0.0,0.0,38.4,0.0,0.0,0.0,38.4,38.4,0.0,5203.0,746362.6,5551.1,757116.7,0.0,1171.1,33874.3,35045.4,792162.1,82015.3,24101.5,675.9,485.4,107278.1,13657.3,11605.3,3832.0,29094.6,136372.7,928573.2,991356.2
Million Dollars,2006-06-30,27343.9,7144.9,31064.1,65552.9,0.0,0.0,0.0,0.0,0.0,38.7,0.0,0.0,0.0,38.7,38.7,0.0,5851.9,795764.8,5793.8,807410.5,0.0,1188.6,32911.6,34100.2,841510.7,81257.6,24957.6,737.7,538.9,107491.8,13786.3,13675.5,3872.2,31334.0,138825.8,980375.2,1045928.1
Million Dollars,2006-09-30,31667.4,7148.0,31973.7,70789.1,0.0,0.0,0.0,0.0,0.0,38.7,0.0,0.0,0.0,38.7,38.7,0.0,6875.2,804472.3,5979.9,817327.4,0.0,1500.6,32069.6,33570.2,850897.6,81256.1,23265.8,796.7,586.2,105904.8,12770.8,14265.7,3867.2,30903.7,136808.5,987744.8,1058533.9
Million Dollars,2006-12-31,35490.0,7404.9,32759.6,75654.5,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,0.0,38.2,38.2,0.0,5881.5,805192.0,6440.7,817514.2,0.0,1516.3,35543.6,37059.9,854574.1,83184.4,21801.7,835.3,611.4,106432.8,12030.4,12783.7,3909.4,28723.5,135156.3,989768.6,1065423.1
Million Dollars,2007-03-31,37723.2,7300.3,33489.1,78512.6,0.0,0.0,0.0,0.0,0.0,37.7,0.0,0.0,0.0,37.7,37.7,0.0,5743.1,837531.8,6187.3,849462.2,0.0,1533.4,36726.5,38259.9,887722.1,87590.9,23628.0,863.5,613.7,112696.1,13079.9,13102.9,3969.1,30151.9,142848.0,1030607.8,1109120.4
Million Dollars,2007-06-30,41307.0,7596.7,34912.0,83815.7,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,0.0,38.2,38.2,0.0,5605.3,880515.5,6501.9,892622.7,0.0,1529.9,43193.4,44723.3,937346.0,95023.9,25895.2,904.3,592.4,122415.8,14192.7,13142.7,4087.6,31423.0,153838.8,1091223.0,1175038.7
Million Dollars,2007-09-30,44829.5,8052.3,36479.4,89361.2,0.0,0.0,0.0,0.0,0.0,38.3,0.0,0.0,0.0,38.3,38.3,0.0,4609.2,933410.9,6788.9,944809.0,0.0,1515.4,47723.2,49238.6,994047.6,102116.5,26548.6,937.0,566.9,130169.0,14628.3,13275.7,4137.0,32041.0,162210.0,1156295.9,1245657.1
Million Dollars,2007-12-31,46878.7,9463.0,37642.9,93984.6,0.0,0.0,0.0,0.0,0.0,37.4,0.0,0.0,0.0,37.4,37.4,0.0,4265.8,1005315.9,7183.1,1016764.8,0.0,1548.4,47610.1,49158.5,1065923.3,105501.7,28799.8,941.1,556.4,135799.0,15903.6,13892.6,4270.1,34066.3,169865.3,1235826.0,1329810.6
